"gene","clean_module","dynamic_module","spearman_rho","branch_pattern"
"LAMC3","clean_D1","D1_early_decreasing","-0.48724972991885","common_decreasing"
"SEMA3G","clean_D1","D1_early_decreasing","-0.479506752843761","common_decreasing"
"IGFBP3","clean_D1","D1_early_decreasing","-0.444062660641216","common_decreasing"
"ALX4","clean_D1","D1_early_decreasing","-0.44109901345244","common_decreasing"
"COL23A1","clean_D1","D1_early_decreasing","-0.440880211769439","common_decreasing"
"TFAP2A","clean_D1","D1_early_decreasing","-0.437360512329504","common_decreasing"
"TCF4","clean_D1","D1_early_decreasing","-0.421133203439401","common_decreasing"
"BMP7","clean_D1","D1_early_decreasing","-0.409380908198158","common_decreasing"
"BMP4","clean_D1","D1_early_decreasing","-0.399262356341805","common_decreasing"
"SLC5A3","clean_D1","D1_early_decreasing","-0.391545871948043","common_decreasing"
"GADD45G","clean_D1","D1_early_decreasing","-0.380563118823476","common_decreasing"
"SERPINE2","clean_D1","D1_early_decreasing","-0.364856730638007","common_decreasing"
"INHBB","clean_D1","D1_early_decreasing","-0.349253154773477","common_decreasing"
"PRLR","clean_D1","D1_early_decreasing","-0.349151316488299","common_decreasing"
"TRPS1","clean_D1","D1_early_decreasing","-0.345373314194472","common_decreasing"
"TIMP3","clean_D1","D1_early_decreasing","-0.343076781206278","common_decreasing"
"PRDM1","clean_D1","D1_early_decreasing","-0.340201616379488","common_decreasing"
"PTCH1","clean_D1","D1_early_decreasing","-0.333044464675735","common_decreasing"
"APCDD1","clean_D1","D1_early_decreasing","-0.328140292455604","common_decreasing"
"DAAM2","clean_D1","D1_early_decreasing","-0.314610669383509","common_decreasing"
"INHBA","clean_D1","D1_early_decreasing","-0.307684357436699","common_decreasing"
"BCL2","clean_D1","D1_early_decreasing","-0.305037276661869","common_decreasing"
"CENPW","clean_D1","D1_early_decreasing","-0.299195418397044","common_decreasing"
"CEBPA","clean_D1","D1_early_decreasing","-0.281369766734245","common_decreasing"
"IGFBP2","clean_D1","D1_early_decreasing","-0.269273030639444","common_decreasing"
"CRABP1","clean_D1","D1_early_decreasing","-0.259805707571299","common_decreasing"
"ROBO2","clean_D1","D1_early_decreasing","-0.234937883623184","mixed_remodeling_branch_biased"
"DKK2","clean_D1","D1_early_decreasing","-0.234654626789648","common_decreasing"
"PHLDA1","clean_D1","D1_early_decreasing","-0.23320587724661","common_decreasing"
"DIO2","clean_D1","D1_early_decreasing","-0.231592608259166","common_decreasing"
"MYLIP","clean_D1","D1_early_decreasing","-0.230469959860994","common_decreasing"
"LUZP2","clean_D1","D1_early_decreasing","-0.229573484340504","common_decreasing"
"ZDHHC14","clean_D1","D1_early_decreasing","-0.226027951298773","mixed_remodeling_branch_biased"
"PGM2L1","clean_D1","D1_early_decreasing","-0.222784162766468","common_decreasing"
"PREX2","clean_D1","D1_early_decreasing","-0.220529006012234","mixed_remodeling_branch_biased"
"TNN","clean_D1","D1_early_decreasing","-0.220455320475478","common_decreasing"
"F2R","clean_D1","D1_early_decreasing","-0.21950442202231","common_decreasing"
"PLEKHH2","clean_D1","D1_early_decreasing","-0.21606771133373","mixed_remodeling_branch_biased"
"TWIST1","clean_D1","D1_early_decreasing","-0.211301135465795","common_decreasing"
"ITGA8","clean_D1","D1_early_decreasing","-0.20717724439976","mixed_remodeling_branch_biased"
"CPE","clean_D1","D1_early_decreasing","-0.206100949932553","ecm_dominant_branch_biased"
"SOX18","clean_D1","D1_early_decreasing","-0.202076301516848","ecm_dominant_branch_biased"
"TMEM258","clean_D2","D2_late_increasing","0.20011186306307","mixed_remodeling_branch_biased"
"POLDIP2","clean_D2","D2_late_increasing","0.200250969148978","mixed_remodeling_branch_biased"
"PLXNA3","clean_D2","D2_late_increasing","0.200307603161685","mixed_remodeling_branch_biased"
"RAB24","clean_D2","D2_late_increasing","0.200424108444054","mixed_remodeling_branch_biased"
"MARVELD1","clean_D2","D2_late_increasing","0.200807381567333","mixed_remodeling_branch_biased"
"CMKLR1","clean_D2","D2_late_increasing","0.201311377734015","mixed_remodeling_branch_biased"
"PTPMT1","clean_D2","D2_late_increasing","0.201325189448217","mixed_remodeling_branch_biased"
"RNF11","clean_D2","D2_late_increasing","0.201359237411212","mixed_remodeling_branch_biased"
"C6orf1","clean_D2","D2_late_increasing","0.201615706705342","mixed_remodeling_branch_biased"
"SSNA1","clean_D2","D2_late_increasing","0.201622039400418","mixed_remodeling_branch_biased"
"PSMC4","clean_D2","D2_late_increasing","0.203865565536798","mixed_remodeling_branch_biased"
"NPC2","clean_D2","D2_late_increasing","0.204385277071487","mixed_remodeling_branch_biased"
"SAT2","clean_D2","D2_late_increasing","0.204413506130961","mixed_remodeling_branch_biased"
"NDUFB11","clean_D2","D2_late_increasing","0.204432690452616","mixed_remodeling_branch_biased"
"DCHS1","clean_D2","D2_late_increasing","0.204906749099453","mixed_remodeling_branch_biased"
"HAS2","clean_D2","D2_late_increasing","0.204988501721473","common_increasing"
"NDUFA4","clean_D2","D2_late_increasing","0.20508351567455","mixed_remodeling_branch_biased"
"ACTN1","clean_D2","D2_late_increasing","0.20527389470214","mixed_remodeling_branch_biased"
"RAB1B","clean_D2","D2_late_increasing","0.20551363667198","mixed_remodeling_branch_biased"
"HIGD2A","clean_D2","D2_late_increasing","0.206245416913196","mixed_remodeling_branch_biased"
"TMEM160","clean_D2","D2_late_increasing","0.206324915733076","mixed_remodeling_branch_biased"
"ILVBL","clean_D2","D2_late_increasing","0.206346779750793","mixed_remodeling_branch_biased"
"TMEM9","clean_D2","D2_late_increasing","0.206402494960425","mixed_remodeling_branch_biased"
"PMP22","clean_D2","D2_late_increasing","0.206426814857332","common_increasing"
"RIC8A","clean_D2","D2_late_increasing","0.206660823781212","mixed_remodeling_branch_biased"
"COX7B","clean_D2","D2_late_increasing","0.207040095463837","mixed_remodeling_branch_biased"
"YIPF3","clean_D2","D2_late_increasing","0.20724812611352","mixed_remodeling_branch_biased"
"TEN1","clean_D2","D2_late_increasing","0.207624193195258","mixed_remodeling_branch_biased"
"FASTK","clean_D2","D2_late_increasing","0.207891636714919","mixed_remodeling_branch_biased"
"FAM162A","clean_D2","D2_late_increasing","0.208212021515558","mixed_remodeling_branch_biased"
"TSR3","clean_D2","D2_late_increasing","0.208241264366302","mixed_remodeling_branch_biased"
"PRELP","clean_D2","D2_late_increasing","0.208364901726351","common_increasing"
"GORASP2","clean_D2","D2_late_increasing","0.208555691809055","mixed_remodeling_branch_biased"
"ECH1","clean_D2","D2_late_increasing","0.208558011717979","mixed_remodeling_branch_biased"
"GSTO1","clean_D2","D2_late_increasing","0.208721578616666","mixed_remodeling_branch_biased"
"PRMT2","clean_D2","D2_late_increasing","0.208986466680602","mixed_remodeling_branch_biased"
"SUB1","clean_D2","D2_late_increasing","0.209120577610556","mixed_remodeling_branch_biased"
