"gene","raw_cluster","dynamic_module","peak_bin","trough_bin","spearman_rho","q_value","expressed_fraction","mean_expression","direction"
"LAMC3","2","D1_early_decreasing","8","15","-0.48724972991885","2.03782942478644e-63","0.177570093457944","0.232350203998949","decreases_with_pseudotime"
"SEMA3G","2","D1_early_decreasing","2","13","-0.479506752843761","3.37674101658859e-61","0.163551401869159","0.252068323171916","decreases_with_pseudotime"
"IGFBP3","2","D1_early_decreasing","7","10","-0.444062660641216","1.12753508521756e-51","0.472897196261682","0.853093416528531","decreases_with_pseudotime"
"ALX4","2","D1_early_decreasing","2","13","-0.44109901345244","6.13552865904177e-51","0.162616822429907","0.220168617953616","decreases_with_pseudotime"
"COL23A1","2","D1_early_decreasing","2","23","-0.440880211769439","6.90285282019395e-51","0.22803738317757","0.310112509438981","decreases_with_pseudotime"
"TFAP2A","2","D1_early_decreasing","8","21","-0.437360512329504","5.16062481804903e-50","0.236448598130841","0.308268522509884","decreases_with_pseudotime"
"TCF4","2","D1_early_decreasing","10","15","-0.421133203439401","4.10829048174073e-46","0.744859813084112","1.00524005063682","decreases_with_pseudotime"
"BMP7","2","D1_early_decreasing","1","14","-0.409380908198158","1.96430257974884e-43","0.146728971962617","0.183125292479312","decreases_with_pseudotime"
"BMP4","2","D1_early_decreasing","7","30","-0.399262356341805","3.39229842220274e-41","0.208411214953271","0.260444554245791","decreases_with_pseudotime"
"SLC5A3","2","D1_early_decreasing","2","15","-0.391545871948043","1.51608333107531e-39","0.157943925233645","0.199102683346144","decreases_with_pseudotime"
"GADD45G","2","D1_early_decreasing","6","15","-0.380563118823476","2.78663111849525e-37","0.203738317757009","0.244520051480531","decreases_with_pseudotime"
"SERPINE2","2","D1_early_decreasing","2","30","-0.364856730638007","3.31282498866535e-34","0.363551401869159","0.408771894140207","decreases_with_pseudotime"
"INHBB","2","D1_early_decreasing","6","17","-0.349253154773477","2.69964049221994e-31","0.138317757009346","0.163166564001328","decreases_with_pseudotime"
"PRLR","2","D1_early_decreasing","2","11","-0.349151316488299","2.8096426443537e-31","0.100934579439252","0.124095141864784","decreases_with_pseudotime"
"TRPS1","2","D1_early_decreasing","2","22","-0.345373314194472","1.33943295039697e-30","0.44018691588785","0.50610315129551","decreases_with_pseudotime"
"TIMP3","2","D1_early_decreasing","26","12","-0.343076781206278","3.47742690109348e-30","0.535514018691589","0.642501397231008","decreases_with_pseudotime"
"PRDM1","2","D1_early_decreasing","3","13","-0.340201616379488","1.11564079624216e-29","0.124299065420561","0.13092898449397","decreases_with_pseudotime"
"PTCH1","2","D1_early_decreasing","2","13","-0.333044464675735","1.91009653982561e-28","0.155140186915888","0.180412106892458","decreases_with_pseudotime"
"APCDD1","2","D1_early_decreasing","12","29","-0.328140292455604","1.25823519319513e-27","0.334579439252336","0.412943749818531","decreases_with_pseudotime"
"DAAM2","2","D1_early_decreasing","8","22","-0.314610669383509","1.98463915568274e-25","0.226168224299065","0.230745728433951","decreases_with_pseudotime"
"INHBA","2","D1_early_decreasing","27","12","-0.307684357436699","2.3809623811995e-24","0.326168224299065","0.37620939553417","decreases_with_pseudotime"
"BCL2","2","D1_early_decreasing","9","21","-0.305037276661869","6.10964792153637e-24","0.199065420560748","0.211805166152198","decreases_with_pseudotime"
"CENPW","2","D1_early_decreasing","9","12","-0.299195418397044","4.63397741720617e-23","0.127102803738318","0.174508962163292","decreases_with_pseudotime"
"CEBPA","2","D1_early_decreasing","5","12","-0.281369766734245","1.71879614356919e-20","0.158878504672897","0.155523377232812","decreases_with_pseudotime"
"IGFBP2","2","D1_early_decreasing","6","13","-0.269273030639444","7.40518464974426e-19","0.135514018691589","0.160216649417241","decreases_with_pseudotime"
"MRPS6","2","D1_early_decreasing","2","15","-0.260461968343232","1.00541450486534e-17","0.35981308411215","0.384694571924031","decreases_with_pseudotime"
"CRABP1","2","D1_early_decreasing","1","20","-0.259805707571299","1.20934778343559e-17","0.100934579439252","0.124639396683754","decreases_with_pseudotime"
"ROBO2","2","D1_early_decreasing","30","21","-0.234937883623184","1.15299662292246e-14","0.260747663551402","0.296297028981379","decreases_with_pseudotime"
"DKK2","2","D1_early_decreasing","6","15","-0.234654626789648","1.24057790503641e-14","0.244859813084112","0.259705079090408","decreases_with_pseudotime"
