run_accession	experiment_accession	sample_accession	fastq_ftp	submitted_ftp	sra_ftp	library_strategy	library_layout
SRR18245427	SRX14386932	SAMN26453744	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/027/SRR18245427/SRR18245427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/027/SRR18245427/SRR18245427_2.fastq.gz			RNA-Seq	PAIRED
SRR18245429	SRX14386930	SAMN26453811	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/029/SRR18245429/SRR18245429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/029/SRR18245429/SRR18245429_2.fastq.gz			RNA-Seq	PAIRED
SRR18245433	SRX14386926	SAMN26453807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/033/SRR18245433/SRR18245433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/033/SRR18245433/SRR18245433_2.fastq.gz			RNA-Seq	PAIRED
SRR18245435	SRX14386924	SAMN26453743	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/035/SRR18245435/SRR18245435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/035/SRR18245435/SRR18245435_2.fastq.gz			RNA-Seq	PAIRED
SRR18245443	SRX14386916	SAMN26453798	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/043/SRR18245443/SRR18245443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/043/SRR18245443/SRR18245443_2.fastq.gz			RNA-Seq	PAIRED
SRR18245444	SRX14386915	SAMN26453797	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/044/SRR18245444/SRR18245444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/044/SRR18245444/SRR18245444_2.fastq.gz			RNA-Seq	PAIRED
SRR18245447	SRX14386912	SAMN26453795	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/047/SRR18245447/SRR18245447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/047/SRR18245447/SRR18245447_2.fastq.gz			RNA-Seq	PAIRED
SRR18245448	SRX14386911	SAMN26453794	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/048/SRR18245448/SRR18245448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/048/SRR18245448/SRR18245448_2.fastq.gz			RNA-Seq	PAIRED
SRR18245450	SRX14386909	SAMN26453792	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/050/SRR18245450/SRR18245450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/050/SRR18245450/SRR18245450_2.fastq.gz			RNA-Seq	PAIRED
SRR18245452	SRX14386907	SAMN26453790	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/052/SRR18245452/SRR18245452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/052/SRR18245452/SRR18245452_2.fastq.gz			RNA-Seq	PAIRED
SRR18245454	SRX14386905	SAMN26453788	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/054/SRR18245454/SRR18245454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/054/SRR18245454/SRR18245454_2.fastq.gz			RNA-Seq	PAIRED
SRR18245457	SRX14386902	SAMN26453741	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/057/SRR18245457/SRR18245457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/057/SRR18245457/SRR18245457_2.fastq.gz			RNA-Seq	PAIRED
SRR18245460	SRX14386899	SAMN26453783	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/060/SRR18245460/SRR18245460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/060/SRR18245460/SRR18245460_2.fastq.gz			RNA-Seq	PAIRED
SRR18245461	SRX14386898	SAMN26453782	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/061/SRR18245461/SRR18245461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/061/SRR18245461/SRR18245461_2.fastq.gz			RNA-Seq	PAIRED
SRR18245466	SRX14386893	SAMN26453777	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/066/SRR18245466/SRR18245466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/066/SRR18245466/SRR18245466_2.fastq.gz			RNA-Seq	PAIRED
SRR18245470	SRX14386889	SAMN26453774	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/070/SRR18245470/SRR18245470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/070/SRR18245470/SRR18245470_2.fastq.gz			RNA-Seq	PAIRED
SRR18245472	SRX14386887	SAMN26453772	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/072/SRR18245472/SRR18245472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/072/SRR18245472/SRR18245472_2.fastq.gz			RNA-Seq	PAIRED
