"cell","method","UMAP_1","UMAP_2","sample","condition","program","cluster"
"K183156_CELL11_N5","PCA_no_Harmony",-0.178110259700423,-1.20022328234165,"K183156","Keloid","ECM-producing fibroblasts","3"
"K183156_CELL43_N2","PCA_no_Harmony",0.903146606754655,-1.18624146318881,"K183156","Keloid","ECM-producing fibroblasts","3"
"K183156_CELL63_N3","PCA_no_Harmony",0.287580829929704,3.52480094098599,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL134_N2","PCA_no_Harmony",4.07189117081105,1.54451625012906,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL147_N3","PCA_no_Harmony",-1.0369812428242,3.01008574628384,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL197_N3","PCA_no_Harmony",-0.0886117398029622,3.44015566968472,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL217_N3","PCA_no_Harmony",-6.5804804741627,2.0452858653024,"K183156","Keloid","Homeostatic/regulatory fibroblasts","2"
"K183156_CELL243_N4","PCA_no_Harmony",-1.48488964431346,2.59888426923306,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL256_N5","PCA_no_Harmony",1.17048106796681,1.10891501569302,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL258_N5","PCA_no_Harmony",4.6693004191631,-1.08525498247592,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL273_N2","PCA_no_Harmony",0.185210090946549,-0.964747265343354,"K183156","Keloid","ECM-producing fibroblasts","3"
"K183156_CELL281_N1","PCA_no_Harmony",1.17366395599782,1.22987048291714,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL353_N3","PCA_no_Harmony",-0.325040000606185,3.39490859174283,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL373_N3","PCA_no_Harmony",3.81905017502248,0.151376887793853,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL433_N4","PCA_no_Harmony",-3.06509007804454,1.81953303479703,"K183156","Keloid","ECM-producing fibroblasts","2"
"K183156_CELL466_N2","PCA_no_Harmony",3.09064422256886,-2.73677523470371,"K183156","Keloid","Homeostatic/regulatory fibroblasts","0"
"K183156_CELL470_N2","PCA_no_Harmony",-3.30074705474437,1.6158367838815,"K183156","Keloid","ECM-producing fibroblasts","2"
"K183156_CELL473_N1","PCA_no_Harmony",2.55926404602467,1.6857134547189,"K183156","Keloid","Matrix-remodeling fibroblasts","1"
"K183156_CELL484_N2","PCA_no_Harmony",0.890453201603288,3.30500952863248,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL499_N3","PCA_no_Harmony",3.18683658249318,-0.191028431420015,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL545_N2","PCA_no_Harmony",-2.86771573417247,1.83422248029263,"K183156","Keloid","ECM-producing fibroblasts","2"
"K183156_CELL561_N7","PCA_no_Harmony",4.5601113856548,-0.453683689598726,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL638_N2","PCA_no_Harmony",4.38109717972218,-1.86693938112705,"K183156","Keloid","Homeostatic/regulatory fibroblasts","0"
"K183156_CELL644_N4","PCA_no_Harmony",0.356826168369645,2.89689891004117,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL654_N3","PCA_no_Harmony",-0.233253616023665,2.90628688001187,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL673_N2","PCA_no_Harmony",-1.13347925536693,2.05435244702847,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL691_N4","PCA_no_Harmony",0.870151382755632,1.25569598340542,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL708_N3","PCA_no_Harmony",-4.38531686656535,-0.473289803032563,"K183156","Keloid","ECM-producing fibroblasts","2"
"K183156_CELL755_N3","PCA_no_Harmony",-0.728681701350814,3.36847941541226,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL762_N2","PCA_no_Harmony",3.63384376175343,-1.90322573519199,"K183156","Keloid","Homeostatic/regulatory fibroblasts","0"
"K183156_CELL765_N2","PCA_no_Harmony",0.0960701525920573,-1.66940291262119,"K183156","Keloid","ECM-producing fibroblasts","3"
"K183156_CELL793_N2","PCA_no_Harmony",-2.00903214805186,2.60534159802945,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL820_N3","PCA_no_Harmony",4.29996142990529,-0.235054806236909,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL890_N3","PCA_no_Harmony",3.03627811081349,-0.607528046135591,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL928_N4","PCA_no_Harmony",-0.162611621547347,3.49006621503384,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL962_N3","PCA_no_Harmony",3.45484862930715,1.91675250196011,"K183156","Keloid","Matrix-remodeling fibroblasts","1"
"K183156_CELL1019_N5","PCA_no_Harmony",-2.65385474555553,2.09826151990445,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL1056_N3","PCA_no_Harmony",2.33790670044362,1.93774096631558,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL1080_N2","PCA_no_Harmony",4.07186256058156,-1.80822832918613,"K183156","Keloid","Homeostatic/regulatory fibroblasts","0"
"K183156_CELL1105_N3","PCA_no_Harmony",-3.76214458339274,1.57084147595914,"K183156","Keloid","ECM-producing fibroblasts","2"
"K183156_CELL1129_N3","PCA_no_Harmony",3.64813647873341,-0.213013962273286,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL1265_N5","PCA_no_Harmony",2.40250573761403,-0.883268192772554,"K183156","Keloid","ECM-producing fibroblasts","1"
"K183156_CELL1278_N2","PCA_no_Harmony",2.91234431869924,1.41035525464566,"K183156","Keloid","Matrix-remodeling fibroblasts","1"
"K183156_CELL1314_N3","PCA_no_Harmony",4.01876006729543,0.607306167121245,"K183156","Keloid","Matrix-remodeling fibroblasts","0"
"K183156_CELL1374_N4","PCA_no_Harmony",-0.0603763043171224,-1.36454995012729,"K183156","Keloid","ECM-producing fibroblasts","3"
"K183156_CELL1393_N6","PCA_no_Harmony",-2.36971058242381,2.20497767591031,"K183156","Keloid","ECM-producing fibroblasts","1"
