"omitted_sample","method","n_cells","n_clusters","ARI_program","mean_sample_entropy","mean_program_neighbor_purity"
"K183156","PCA_no_Harmony",501,2,0.232162469043547,0.291636543804192,0.765469061876248
"K183156","Harmony_sample",501,3,0.346714544791181,0.438950606100981,0.760079840319361
"K183261","PCA_no_Harmony",1021,4,0.390883861171963,0.211665128161955,0.814756774404179
"K183261","Harmony_sample",1021,4,0.338892259342084,0.442435825230039,0.796114920013059
"K712771","PCA_no_Harmony",977,4,0.391094429528622,0.193206464915821,0.820504947117025
"K712771","Harmony_sample",977,4,0.301550923747277,0.396410728036845,0.798464687819857
"N176712","PCA_no_Harmony",1059,4,0.381431403465073,0.264915832368708,0.81152030217186
"N176712","Harmony_sample",1059,4,0.326692579682194,0.512707425698073,0.797387472458294
"N177536","PCA_no_Harmony",1027,4,0.404269383883915,0.238051169981042,0.820155793573515
"N177536","Harmony_sample",1027,4,0.352103670494637,0.456528671692631,0.797078870496592
"N387690","PCA_no_Harmony",765,4,0.327676473982169,0.314367084914553,0.787930283224401
"N387690","Harmony_sample",765,5,0.267862719730899,0.486250118632014,0.775294117647059
