"cell","sample","scDblFinder_score","scDblFinder_class","included_in_trajectory_analysis"
"K183156_CELL11_N5","K183156",0.29070457816124,"singlet",TRUE
"K183156_CELL43_N2","K183156",0.227284133434296,"singlet",TRUE
"K183156_CELL63_N3","K183156",0.0219263900071383,"singlet",TRUE
"K183156_CELL86_N4","K183156",0.360264331102371,"singlet",FALSE
"K183156_CELL134_N2","K183156",0.0383692048490047,"singlet",TRUE
"K183156_CELL137_N3","K183156",0.953292191028595,"doublet",FALSE
"K183156_CELL147_N3","K183156",0.903778672218323,"singlet",TRUE
"K183156_CELL197_N3","K183156",0.123137138783932,"singlet",TRUE
"K183156_CELL204_N6","K183156",0.206837445497513,"singlet",FALSE
"K183156_CELL206_N2","K183156",0.0837707370519638,"singlet",FALSE
"K183156_CELL217_N3","K183156",0.371306240558624,"singlet",TRUE
"K183156_CELL243_N4","K183156",0.494822800159454,"singlet",TRUE
"K183156_CELL256_N5","K183156",0.73855197429657,"singlet",TRUE
"K183156_CELL258_N5","K183156",0.34887421131134,"singlet",TRUE
"K183156_CELL273_N2","K183156",0.556191742420197,"singlet",TRUE
"K183156_CELL281_N1","K183156",0.362819403409958,"singlet",TRUE
"K183156_CELL353_N3","K183156",0.155300930142403,"singlet",TRUE
"K183156_CELL359_N3","K183156",0.0556443780660629,"singlet",FALSE
"K183156_CELL368_N3","K183156",0.254652678966522,"singlet",FALSE
"K183156_CELL373_N3","K183156",0.444724828004837,"singlet",TRUE
"K183156_CELL395_N3","K183156",0.468258887529373,"singlet",FALSE
"K183156_CELL433_N4","K183156",0.0937699824571609,"singlet",TRUE
"K183156_CELL466_N2","K183156",0.0851372554898262,"singlet",TRUE
"K183156_CELL470_N2","K183156",0.719028830528259,"singlet",TRUE
"K183156_CELL473_N1","K183156",0.18306739628315,"singlet",TRUE
"K183156_CELL484_N2","K183156",0.118305638432503,"singlet",TRUE
"K183156_CELL499_N3","K183156",0.525586783885956,"singlet",TRUE
"K183156_CELL545_N2","K183156",0.568685054779053,"singlet",TRUE
"K183156_CELL561_N7","K183156",0.189856350421906,"singlet",TRUE
"K183156_CELL638_N2","K183156",0.393431425094604,"singlet",TRUE
"K183156_CELL644_N4","K183156",0.287708580493927,"singlet",TRUE
"K183156_CELL654_N3","K183156",0.361811101436615,"singlet",TRUE
"K183156_CELL673_N2","K183156",0.517096042633057,"singlet",TRUE
"K183156_CELL691_N4","K183156",0.342766940593719,"singlet",TRUE
"K183156_CELL708_N3","K183156",0.114113979041576,"singlet",TRUE
"K183156_CELL722_N1","K183156",0.681010663509369,"singlet",FALSE
"K183156_CELL755_N3","K183156",0.132849812507629,"singlet",TRUE
"K183156_CELL762_N2","K183156",0.991165101528168,"doublet",TRUE
