"sample","included_in_trajectory_analysis","n_cells","predicted_doublets","predicted_doublet_fraction"
"K183156",FALSE,74,5,0.0675675675675676
"K183156",TRUE,569,15,0.0263620386643234
"K183261",FALSE,7,1,0.142857142857143
"K183261",TRUE,49,0,0
"K712771",FALSE,16,7,0.4375
"K712771",TRUE,93,7,0.0752688172043011
"N176712",FALSE,5,0,0
"N176712",TRUE,11,0,0
"N177536",FALSE,17,1,0.0588235294117647
"N177536",TRUE,43,0,0
"N387690",FALSE,161,14,0.0869565217391304
"N387690",TRUE,305,3,0.00983606557377049
