"sample","condition","version","n_cells","median_pseudotime","median_D1","median_D2","homeostatic_fraction","matrix_fraction","ecm_fraction"
"K183156","Keloid","all_current_cells",569,19.9208481237642,0.0791184416373859,0.395836368629022,0.184534270650264,0.286467486818981,0.528998242530756
"K183261","Keloid","all_current_cells",49,15.1362562380114,0.0912248598090157,0.288458706493948,0.489795918367347,0.142857142857143,0.36734693877551
"K712771","Keloid","all_current_cells",93,14.1663634508163,0.16360506044877,0.343506740775223,0.21505376344086,0.462365591397849,0.32258064516129
"N176712","Normal","all_current_cells",11,7.63301497843142,0.317293965730855,0.248634960880203,0.545454545454545,0.363636363636364,0.0909090909090909
"N177536","Normal","all_current_cells",43,6.74314298703417,0.249257097342036,0.215118331737006,0.744186046511628,0.13953488372093,0.116279069767442
"N387690","Normal","all_current_cells",305,0.378939526616552,0.660011648711677,0.135701782579501,0.891803278688525,0.019672131147541,0.0885245901639344
"K183156","Keloid","exclude_scDblFinder_predicted",554,19.919278517267,0.078390977983655,0.394182887040714,0.180505415162455,0.292418772563177,0.527075812274368
"K183261","Keloid","exclude_scDblFinder_predicted",49,15.1362562380114,0.0912248598090157,0.288458706493948,0.489795918367347,0.142857142857143,0.36734693877551
"K712771","Keloid","exclude_scDblFinder_predicted",86,14.4110626922826,0.163277493723029,0.340225423774162,0.186046511627907,0.488372093023256,0.325581395348837
"N176712","Normal","exclude_scDblFinder_predicted",11,7.63301497843142,0.317293965730855,0.248634960880203,0.545454545454545,0.363636363636364,0.0909090909090909
"N177536","Normal","exclude_scDblFinder_predicted",43,6.74314298703417,0.249257097342036,0.215118331737006,0.744186046511628,0.13953488372093,0.116279069767442
"N387690","Normal","exclude_scDblFinder_predicted",302,0.377717281467192,0.656084370253212,0.135603374937312,0.890728476821192,0.0198675496688742,0.0894039735099338
