"threshold_percent_mt","sample","condition","retained_cells","retained_fraction","homeostatic_fraction","matrix_fraction","ecm_fraction"
10,"K183156","Keloid",569,1,0.184534270650264,0.286467486818981,0.528998242530756
10,"K183261","Keloid",49,1,0.489795918367347,0.142857142857143,0.36734693877551
10,"K712771","Keloid",93,1,0.21505376344086,0.462365591397849,0.32258064516129
10,"N176712","Normal",11,1,0.545454545454545,0.363636363636364,0.0909090909090909
10,"N177536","Normal",43,1,0.744186046511628,0.13953488372093,0.116279069767442
10,"N387690","Normal",305,1,0.891803278688525,0.019672131147541,0.0885245901639344
15,"K183156","Keloid",569,1,0.184534270650264,0.286467486818981,0.528998242530756
15,"K183261","Keloid",49,1,0.489795918367347,0.142857142857143,0.36734693877551
15,"K712771","Keloid",93,1,0.21505376344086,0.462365591397849,0.32258064516129
15,"N176712","Normal",11,1,0.545454545454545,0.363636363636364,0.0909090909090909
15,"N177536","Normal",43,1,0.744186046511628,0.13953488372093,0.116279069767442
15,"N387690","Normal",305,1,0.891803278688525,0.019672131147541,0.0885245901639344
20,"K183156","Keloid",569,1,0.184534270650264,0.286467486818981,0.528998242530756
20,"K183261","Keloid",49,1,0.489795918367347,0.142857142857143,0.36734693877551
20,"K712771","Keloid",93,1,0.21505376344086,0.462365591397849,0.32258064516129
20,"N176712","Normal",11,1,0.545454545454545,0.363636363636364,0.0909090909090909
20,"N177536","Normal",43,1,0.744186046511628,0.13953488372093,0.116279069767442
20,"N387690","Normal",305,1,0.891803278688525,0.019672131147541,0.0885245901639344
25,"K183156","Keloid",569,1,0.184534270650264,0.286467486818981,0.528998242530756
25,"K183261","Keloid",49,1,0.489795918367347,0.142857142857143,0.36734693877551
25,"K712771","Keloid",93,1,0.21505376344086,0.462365591397849,0.32258064516129
25,"N176712","Normal",11,1,0.545454545454545,0.363636363636364,0.0909090909090909
25,"N177536","Normal",43,1,0.744186046511628,0.13953488372093,0.116279069767442
25,"N387690","Normal",305,1,0.891803278688525,0.019672131147541,0.0885245901639344
