"gene","discovery_detection_fraction","discovery_detection_eligible","metacell_variance","selected_top_variable","clean_program"
"RPL22",0.775700934579439,TRUE,0.101624106327509,TRUE,NA
"ACOT7",0.0457943925233645,FALSE,NA,FALSE,NA
"ICMT",0.190654205607477,TRUE,0.00345294436548678,FALSE,NA
"RP1-120G22.11",0.00186915887850467,FALSE,NA,FALSE,NA
"RNF207",0.0271028037383178,FALSE,NA,FALSE,NA
"HES2",0.0252336448598131,FALSE,NA,FALSE,NA
"NOL9",0.0981308411214953,TRUE,0.00169891244512923,FALSE,NA
"LINC00337",0.00186915887850467,FALSE,NA,FALSE,NA
"TNFRSF25",0.0261682242990654,FALSE,NA,FALSE,NA
"GPR153",0.199065420560748,TRUE,0.00500850327663891,FALSE,NA
"TAS1R1",0.0102803738317757,FALSE,NA,FALSE,NA
"KLHL21",0.0766355140186916,TRUE,0.00151096610009449,FALSE,NA
"PLEKHG5",0.0457943925233645,FALSE,NA,FALSE,NA
"RP1-202O8.3",0.00560747663551402,FALSE,NA,FALSE,NA
"DNAJC11",0.108411214953271,TRUE,0.00306904783689076,FALSE,NA
"ESPN",0.0242990654205607,FALSE,NA,FALSE,NA
"RP1-202O8.2",0,FALSE,NA,FALSE,NA
"ZBTB48",0.0401869158878505,FALSE,NA,FALSE,NA
"CAMTA1",0.296261682242991,TRUE,0.00688016314653214,TRUE,NA
"PHF13",0.0542056074766355,TRUE,0.000618437487631738,FALSE,NA
"THAP3",0.0934579439252336,TRUE,0.00231703907960817,FALSE,NA
"RP11-312B8.1",0.00280373831775701,FALSE,NA,FALSE,NA
"VAMP3",0.161682242990654,TRUE,0.0023689040133074,FALSE,NA
"RP3-453P22.2",0,FALSE,NA,FALSE,NA
"RP4-549F15.1",0,FALSE,NA,FALSE,NA
"PER3",0.111214953271028,TRUE,0.00339355003619713,FALSE,NA
"PARK7",0.552336448598131,TRUE,0.0508089906632387,TRUE,NA
"RP11-338N10.2",0,FALSE,NA,FALSE,NA
"ERRFI1",0.097196261682243,TRUE,0.00298166271546818,FALSE,NA
"TNFRSF9",0.0523364485981308,TRUE,0.00217950480823042,FALSE,NA
"RP3-467L1.4",0.000934579439252336,FALSE,NA,FALSE,NA
"UTS2",0.00280373831775701,FALSE,NA,FALSE,NA
"RP11-431K24.1",0.00747663551401869,FALSE,NA,FALSE,NA
"RERE",0.38411214953271,TRUE,0.0465885528482975,TRUE,NA
"SLC45A1",0.0102803738317757,FALSE,NA,FALSE,NA
