"Power","SFT_R2","mean_connectivity"
1,0.146420738462149,1558.79942880326
2,0.508628256031583,905.885332091217
3,0.291237467395834,571.241518209739
4,0.0672505532263989,382.739666685535
5,0.00110237125939078,268.493711204748
6,0.066151903513173,195.17261533105
7,0.205673541784729,145.935352923611
8,0.366373569617355,111.645949611181
9,0.49293874022577,87.0469512603736
10,0.57501610339962,68.9601712230202
12,0.691089148527738,45.0101479063498
14,0.755406140599044,30.6356109768379
16,0.789229243295904,21.5556085490805
18,0.812194653107792,15.5838573887266
20,0.824896306150086,11.5252570856841
