"metacell","sample","condition","program","bin","n_cells","mean_pseudotime","clean_D1","clean_D2"
"K183156__ECM-producing fibroblasts__1","K183156","Keloid","ECM-producing fibroblasts",1,25,12.1333801205315,0.04619940037338,0.293997970543849
"K183156__ECM-producing fibroblasts__10","K183156","Keloid","ECM-producing fibroblasts",10,25,20.6663164882213,0.0862854203121271,0.446343820459977
"K183156__ECM-producing fibroblasts__11","K183156","Keloid","ECM-producing fibroblasts",11,25,21.5407973420198,0.103886262566892,0.327587294474568
"K183156__ECM-producing fibroblasts__12","K183156","Keloid","ECM-producing fibroblasts",12,25,22.3213673961987,0.142154632125506,0.260746779527044
"K183156__ECM-producing fibroblasts__2","K183156","Keloid","ECM-producing fibroblasts",2,25,15.7887950491842,0.0550910368750667,0.36405725842281
"K183156__ECM-producing fibroblasts__3","K183156","Keloid","ECM-producing fibroblasts",3,25,17.3356767000626,0.0764592629749693,0.388073662762328
"K183156__ECM-producing fibroblasts__4","K183156","Keloid","ECM-producing fibroblasts",4,25,19.0351968772377,0.0645631088961089,0.39129716696493
"K183156__ECM-producing fibroblasts__5","K183156","Keloid","ECM-producing fibroblasts",5,25,19.8897351437599,0.0612146975976719,0.414052589304406
"K183156__ECM-producing fibroblasts__6","K183156","Keloid","ECM-producing fibroblasts",6,25,19.9963059492612,0.0534845515271684,0.420852117634488
"K183156__ECM-producing fibroblasts__7","K183156","Keloid","ECM-producing fibroblasts",7,25,20.0966777297788,0.0607022936524991,0.438268573600616
"K183156__ECM-producing fibroblasts__8","K183156","Keloid","ECM-producing fibroblasts",8,25,20.2106850538218,0.061878554820241,0.459249995874354
"K183156__ECM-producing fibroblasts__9","K183156","Keloid","ECM-producing fibroblasts",9,25,20.3593977927398,0.0659855311128007,0.479585766621496
"K183156__Homeostatic/regulatory fibroblasts__1","K183156","Keloid","Homeostatic/regulatory fibroblasts",1,25,2.6895449122137,0.515340918786548,0.171262257013761
"K183156__Homeostatic/regulatory fibroblasts__2","K183156","Keloid","Homeostatic/regulatory fibroblasts",2,25,13.2019595806206,0.144266051200833,0.334674456984323
"K183156__Homeostatic/regulatory fibroblasts__3","K183156","Keloid","Homeostatic/regulatory fibroblasts",3,25,17.9592975653115,0.129171781406093,0.389866907961
"K183156__Homeostatic/regulatory fibroblasts__4","K183156","Keloid","Homeostatic/regulatory fibroblasts",4,25,20.124633891343,0.14075574665423,0.398648672418936
"K183156__Matrix-remodeling fibroblasts__1","K183156","Keloid","Matrix-remodeling fibroblasts",1,25,12.7671013427808,0.124587412906244,0.323668504165501
"K183156__Matrix-remodeling fibroblasts__2","K183156","Keloid","Matrix-remodeling fibroblasts",2,25,17.4003596560764,0.110126281413286,0.371736168025922
"K183156__Matrix-remodeling fibroblasts__3","K183156","Keloid","Matrix-remodeling fibroblasts",3,25,19.5713806491372,0.0762056073492252,0.396626881073937
"K183156__Matrix-remodeling fibroblasts__4","K183156","Keloid","Matrix-remodeling fibroblasts",4,25,19.9759602709611,0.0805371404273421,0.420901212901238
"K183156__Matrix-remodeling fibroblasts__5","K183156","Keloid","Matrix-remodeling fibroblasts",5,25,20.1193915979382,0.0807020180695098,0.429446879890014
"K183156__Matrix-remodeling fibroblasts__6","K183156","Keloid","Matrix-remodeling fibroblasts",6,25,20.2217465301075,0.0903744937685707,0.425652967953991
"K183156__Matrix-remodeling fibroblasts__7","K183156","Keloid","Matrix-remodeling fibroblasts",7,13,20.3708675496266,0.0678562303905929,0.434920422744765
"K183261__ECM-producing fibroblasts__1","K183261","Keloid","ECM-producing fibroblasts",1,18,18.2750210526411,0.103661534063186,0.317012586807083
"K183261__Homeostatic/regulatory fibroblasts__1","K183261","Keloid","Homeostatic/regulatory fibroblasts",1,24,10.9362704659356,0.193228107251004,0.249979146670802
