"cell","pca_cluster","sample","condition","program","pseudotime","clean_D1","clean_D2","metacell"
"K183156_CELL11_N5",3,"K183156","Keloid","ECM-producing fibroblasts",21.9053075087703,0.120236891526816,0.390605681812192,"K183156__ECM-producing fibroblasts__PCA3"
"K183156_CELL43_N2",7,"K183156","Keloid","ECM-producing fibroblasts",20.9010744280011,0.147783592040178,0.423710125564053,"K183156__ECM-producing fibroblasts__PCA7"
"K183156_CELL63_N3",1,"K183156","Keloid","ECM-producing fibroblasts",20.08026066242,0.0409250674497382,0.423390151676255,"K183156__ECM-producing fibroblasts__PCA1"
"K183156_CELL147_N3",10,"K183156","Keloid","ECM-producing fibroblasts",20.220455164079,0.0663145454329021,0.463710159729821,"K183156__ECM-producing fibroblasts__PCA10"
"K183156_CELL197_N3",10,"K183156","Keloid","ECM-producing fibroblasts",20.0231132429108,0.051338662810265,0.410864075991361,"K183156__ECM-producing fibroblasts__PCA10"
"K183156_CELL243_N4",4,"K183156","Keloid","ECM-producing fibroblasts",20.3298404500887,0.0596762601452001,0.49153399263513,"K183156__ECM-producing fibroblasts__PCA4"
"K183156_CELL256_N5",8,"K183156","Keloid","ECM-producing fibroblasts",16.8484785539895,0.0854010450599967,0.360552689858439,"K183156__ECM-producing fibroblasts__PCA8"
"K183156_CELL273_N2",6,"K183156","Keloid","ECM-producing fibroblasts",17.7490526903791,0.0835560360105939,0.465745499038904,"K183156__ECM-producing fibroblasts__PCA6"
"K183156_CELL281_N1",9,"K183156","Keloid","ECM-producing fibroblasts",19.8063741440634,0.0493395835664815,0.404026121646183,"K183156__ECM-producing fibroblasts__PCA9"
"K183156_CELL353_N3",10,"K183156","Keloid","ECM-producing fibroblasts",20.2041308296835,0.016946572546744,0.452144683327485,"K183156__ECM-producing fibroblasts__PCA10"
"K183156_CELL433_N4",4,"K183156","Keloid","ECM-producing fibroblasts",20.5682384291951,0.0717379427176695,0.516889401558223,"K183156__ECM-producing fibroblasts__PCA4"
"K183156_CELL470_N2",4,"K183156","Keloid","ECM-producing fibroblasts",19.8586426596874,0.0821217005377542,0.420312541570486,"K183156__ECM-producing fibroblasts__PCA4"
