"metacell","sample","condition","program","pca_cluster","n_cells","mean_pseudotime","clean_D1","clean_D2"
"K183156__ECM-producing fibroblasts__PCA1","K183156","Keloid","ECM-producing fibroblasts",1,52,16.288402523841,0.0418232300066933,0.341606279789483
"K183156__ECM-producing fibroblasts__PCA10","K183156","Keloid","ECM-producing fibroblasts",10,39,19.9874204230054,0.0557767726239883,0.445739769311599
"K183156__ECM-producing fibroblasts__PCA11","K183156","Keloid","ECM-producing fibroblasts",11,13,21.7305053341706,0.088173412665205,0.290687561302985
"K183156__ECM-producing fibroblasts__PCA2","K183156","Keloid","ECM-producing fibroblasts",2,10,21.8310311734223,0.127344685884206,0.260914635640288
"K183156__ECM-producing fibroblasts__PCA3","K183156","Keloid","ECM-producing fibroblasts",3,16,22.328573869026,0.144027766435823,0.309955226207763
"K183156__ECM-producing fibroblasts__PCA4","K183156","Keloid","ECM-producing fibroblasts",4,30,20.2818272289861,0.068244979564076,0.48354155158427
"K183156__ECM-producing fibroblasts__PCA5","K183156","Keloid","ECM-producing fibroblasts",5,18,16.3237899990441,0.0660338961122545,0.336178136659768
"K183156__ECM-producing fibroblasts__PCA6","K183156","Keloid","ECM-producing fibroblasts",6,26,18.574522803904,0.102508359452273,0.419452964620773
"K183156__ECM-producing fibroblasts__PCA7","K183156","Keloid","ECM-producing fibroblasts",7,13,21.6418044067915,0.149542300137392,0.332442308371619
"K183156__ECM-producing fibroblasts__PCA8","K183156","Keloid","ECM-producing fibroblasts",8,29,18.9979524227078,0.0744299652937835,0.418895314295347
"K183156__ECM-producing fibroblasts__PCA9","K183156","Keloid","ECM-producing fibroblasts",9,55,19.1866861501579,0.0552578549295281,0.417516497415688
"K183156__Homeostatic/regulatory fibroblasts__PCA1","K183156","Keloid","Homeostatic/regulatory fibroblasts",1,27,15.6257027650116,0.17069962770514,0.289785192653948
"K183156__Homeostatic/regulatory fibroblasts__PCA2","K183156","Keloid","Homeostatic/regulatory fibroblasts",2,32,17.3093235797151,0.154546924748153,0.389569465331324
"K183156__Homeostatic/regulatory fibroblasts__PCA3","K183156","Keloid","Homeostatic/regulatory fibroblasts",3,46,10.469761145347,0.314027184610339,0.287512768351687
"K183156__Matrix-remodeling fibroblasts__PCA1","K183156","Keloid","Matrix-remodeling fibroblasts",1,22,19.1795632577569,0.111786868873643,0.422249754956029
"K183156__Matrix-remodeling fibroblasts__PCA2","K183156","Keloid","Matrix-remodeling fibroblasts",2,18,19.3749012578851,0.0943060454107714,0.413294458257627
