"gene","module"
"RPL22","brown"
"CAMTA1","grey"
"PARK7","blue"
"RERE","turquoise"
"ENO1","blue"
"H6PD","red"
"CLSTN1","turquoise"
"UBE4B","turquoise"
"KIF1B","turquoise"
"NOC2L","turquoise"
"HES4","red"
"SDF4","yellow"
"ISG15","blue"
"AURKAIP1","blue"
"MRPL20","brown"
"CCNL2","turquoise"
"SSU72","brown"
"MXRA8","blue"
"GNB1","turquoise"
"FAAP20","blue"
"SKI","turquoise"
"RER1","blue"
"MEGF6","turquoise"
"SRM","blue"
"AGTRAP","blue"
"PLOD1","yellow"
"VPS13D","turquoise"
"DHRS3","turquoise"
"PRDM2","turquoise"
"KAZN","green"
"FBLIM1","red"
"PLEKHM2","turquoise"
"FBXO42","turquoise"
"SZRD1","blue"
"SDHB","brown"
"MFAP2","yellow"
"RCC2","grey"
"ARHGEF10L","turquoise"
"CAPZB","yellow"
"MINOS1","blue"
"NBL1","yellow"
"PLA2G2A","red"
"PINK1-AS","blue"
"CAMK2N1","brown"
"HP1BP3","turquoise"
"DDOST","blue"
"EIF4G3","turquoise"
"ECE1","green"
"HSPG2","yellow"
"CDC42","grey"
"EPHB2","yellow"
"HNRNPR","pink"
"RPL11","brown"
"TCEA3","turquoise"
"ASAP3","turquoise"
"ID3","blue"
"CLIC4","turquoise"
"SRRM1","green"
"SYF2","green"
"RUNX3","green"
"RSRP1","turquoise"
"TMEM50A","red"
"MAN1C1","turquoise"
"SEPN1","blue"
"STMN1","pink"
"SH3BGRL3","blue"
"ARID1A","turquoise"
"HMGN2","brown"
"SFN","grey"
"NUDC","brown"
"WASF2","brown"
"AHDC1","turquoise"
"IFI6","blue"
"DNAJC8","blue"
"PHACTR4","turquoise"
"ATPIF1","blue"
"SRSF4","turquoise"
"PUM1","turquoise"
"COL16A1","yellow"
"PTP4A2","blue"
"KHDRBS1","green"
"KPNA6","turquoise"
"MARCKSL1","blue"
"EIF3I","red"
"CCDC28B","blue"
"RBBP4","pink"
"PHC2","turquoise"
"CSMD2","turquoise"
"RP11-244H3.4","red"
"PSMB2","brown"
"AGO3","turquoise"
"THRAP3","turquoise"
"TRAPPC3","blue"
"MAP7D1","yellow"
"EVA1B","blue"
"MRPS15","blue"
"C1orf122","blue"
"MACF1","turquoise"
"NDUFS5","brown"
"HEYL","red"
"CAP1","blue"
"SCMH1","turquoise"
"YBX1","blue"
"P3H1","yellow"
"MED8","blue"
"ST3GAL3","turquoise"
"B4GALT2","yellow"
"ATP6V0B","blue"
"ERI3","turquoise"
"RPS8","brown"
"PTCH2","turquoise"
"EIF2B3","turquoise"
"MAST2","turquoise"
"UQCRH","blue"
"FAF1","turquoise"
"NRDC","turquoise"
"ZCCHC11","turquoise"
"GPX7","blue"
"ECHDC2","turquoise"
"SCP2","yellow"
"C1orf123","blue"
"PODN","yellow"
"UROD","red"
"PRDX1","blue"
"GPBP1L1","turquoise"
"AKR1A1","yellow"
"GLIS1","turquoise"
"TMEM59","brown"
"SSBP3","green"
"PLPP3","black"
"DAB1","turquoise"
"JUN","turquoise"
"FGGY","turquoise"
"NFIA","black"
"ROR1","turquoise"
"JAK1","turquoise"
"CACHD1","green"
"LEPROT","black"
"SERBP1","brown"
"GADD45A","red"
"WLS","pink"
"SRSF11","turquoise"
"NEGR1","black"
"USP33","turquoise"
"PTGFR","green"
"GNG5","blue"
"CYR61","turquoise"
"LMO4","green"
"PKN2","turquoise"
"TGFBR3","turquoise"
"EVI5","turquoise"
"RPL5","brown"
"CNN3","yellow"
"PTBP2","turquoise"
"DPYD","turquoise"
"COL11A1","yellow"
"NTNG1","green"
"GSTM3","brown"
"LAMTOR5","brown"
"RAP1A","turquoise"
"ATP5F1","blue"
"RHOC","blue"
"SLC16A1-AS1","turquoise"
"OLFML3","yellow"
"CSDE1","brown"
"ATP1A1","green"
"TBX15","turquoise"
"RP11-14N7.2","blue"
"RNF115","turquoise"
"TXNIP","red"
"ANKRD35","red"
"RBM8A","brown"
"NBPF19","turquoise"
"HIST2H2BE","green"
"SF3B4","brown"
"APH1A","brown"
"C1orf54","red"
"MRPS21","red"
"RPRD2","turquoise"
"CTSK","blue"
"MCL1","turquoise"
"ENSA","green"
"ECM1","blue"
"PIP5K1A","turquoise"
"POGZ","turquoise"
"PSMD4","blue"
"S100A11","blue"
"SELENBP1","red"
"PSMB4","brown"
"S100A10","blue"
"S100A6","brown"
"S100A7","yellow"
"S100A8","yellow"
"S100A9","yellow"
"S100A4","brown"
"LOR","green"
"S100A14","grey"
"S100A2","green"
"S100A13","blue"
"S100A16","blue"
"GATAD2B","turquoise"
"ILF2","yellow"
"RPS27","brown"
"JTB","yellow"
"RAB13","red"
"SLC39A1","blue"
"TPM3","blue"
"KRTCAP2","blue"
"THBS3","yellow"
"DPM3","blue"
"ASH1L","turquoise"
"LMNA","green"
"SSR2","blue"
"LAMTOR2","blue"
"CCT3","blue"
"GLMP","yellow"
"PMVK","blue"
"CKS1B","brown"
"SHC1","red"
"CRABP2","yellow"
"HDGF","brown"
"APOA1BP","blue"
"KIRREL","turquoise"
"IFI16","red"
"ACKR1","yellow"
"TAGLN2","blue"
"DUSP23","blue"
"COPA","yellow"
"PEA15","blue"
"PFDN2","brown"
"UFC1","blue"
"OLFML2B","yellow"
"DDR2","turquoise"
"PBX1","turquoise"
"MGST3","blue"
"MPC2","blue"
"MPZL1","turquoise"
"DCAF6","turquoise"
"DPT","yellow"
"KIFAP3","turquoise"
"PRRX1","pink"
"RP1-79C4.4","turquoise"
"FMO1","red"
"PRRC2C","turquoise"
"PRDX6","brown"
"RC3H1","turquoise"
"RABGAP1L","turquoise"
"CACYBP","brown"
"TNN","green"
"RFWD2","turquoise"
"RASAL2","turquoise"
"ABL2","turquoise"
"QSOX1","yellow"
"XPR1","turquoise"
"IER5","brown"
"GLUL","black"
"RGS16","red"
"DHX9","brown"
"LAMC1","turquoise"
"FAM129A","turquoise"
"HMCN1","turquoise"
"CFH","red"
"CAMSAP2","turquoise"
"TMEM9","red"
"CSRP1","blue"
"PHLDA3","blue"
"NAV1","turquoise"
"FMOD","red"
"ZC3H11A","turquoise"
"PRELP","red"
"ATP2B4","turquoise"
"SNRPE","brown"
"NUCKS1","brown"
"SRGAP2","turquoise"
"PLXNA2","turquoise"
"NENF","blue"
"ATF3","turquoise"
"PTPN14","turquoise"
"TGFB2","green"
"DEGS1","blue"
"ENAH","turquoise"
"EPHX1","red"
"RP11-145A3.1","turquoise"
"H3F3A","brown"
"ACBD3","turquoise"
"CDC42BPA","turquoise"
"GUK1","blue"
"MRPL55","blue"
"ARF1","blue"
"RNF187","blue"
"GALNT2","yellow"
"PCNXL2","red"
"IRF2BP2","turquoise"
"TOMM20","brown"
"ARID4B","turquoise"
"LYST","turquoise"
"NID1","turquoise"
"RYR2","turquoise"
"CEP170","turquoise"
"SDCCAG8","turquoise"
"AKT3","turquoise"
"HNRNPU","brown"
"KIF26B","turquoise"
"SMYD3","turquoise"
"DIP2C","turquoise"
"LARP4B","turquoise"
"KLF6","turquoise"
"CALML5","green"
"AKR1C3","red"
"GDI2","yellow"
"FAM208B","turquoise"
"FBXO18","turquoise"
"ITIH5","black"
"ATP5C1","blue"
"CELF2","black"
"CAMK1D","turquoise"
"CCDC3","green"
"FRMD4A","turquoise"
"ITGA8","green"
"RSU1","turquoise"
"VIM","brown"
"CACNB2","turquoise"
"PLXDC2","turquoise"
"DNAJC1","turquoise"
"MLLT10","turquoise"
"COMMD3","brown"
"MSRB2","blue"
"KIAA1217","turquoise"
"ARHGAP21","turquoise"
"WAC","turquoise"
"SVIL","turquoise"
"ZEB1","turquoise"
"EPC1","turquoise"
"ITGB1","yellow"
"NRP1","turquoise"
"PARD3","turquoise"
"CCNY","turquoise"
"CXCL12","red"
"C10orf10","red"
"VSTM4","green"
"PRKG1","turquoise"
"CISD1","red"
"BICC1","turquoise"
"ARID5B","green"
"JMJD1C","turquoise"
"HERC4","turquoise"
"HNRNPH3","green"
"SAR1A","yellow"
"PPA1","grey"
"ADAMTS14","turquoise"
"UNC5B","grey"
"PSAP","blue"
"ANAPC16","brown"
"DDIT4","grey"
"MICU1","turquoise"
"P4HA1","turquoise"
"PPP3CB","turquoise"
"FUT11","blue"
"VCL","turquoise"
"CHCHD1","blue"
"PLAU","red"
"ADK","turquoise"
"KAT6B","turquoise"
"ZNF503","brown"
"VDAC2","blue"
"C10orf11","black"
"KCNMA1","turquoise"
"DLG5","turquoise"
