"module","trait","donor_equal_rho"
"brown","clean_D1",0.419486209977546
"brown","clean_D2",-0.196874944394463
"blue","clean_D1",-0.598288017056973
"blue","clean_D2",0.843126916859588
"turquoise","clean_D1",0.511290945219403
"turquoise","clean_D2",-0.520370375753631
"red","clean_D1",-0.216221325845402
"red","clean_D2",0.505144270236518
"yellow","clean_D1",-0.890833091867286
"yellow","clean_D2",0.905735502782384
"green","clean_D1",0.950196148383032
"green","clean_D2",-0.815838225290414
"pink","clean_D1",0.929883857619305
"pink","clean_D2",-0.811944401360273
"black","clean_D1",0.529826333606517
"black","clean_D2",-0.308570342012461
