"cell","sample","condition","program","closest_vertex","pseudotime_mixed","pseudotime_ecm_dominant","weight_mixed","weight_ecm_dominant"
"K183156_CELL11_N5","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.953045070495512,0,1
"K183156_CELL43_N2","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.909353404132354,0,1
"K183156_CELL63_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.975469803192669,0,1,0
"K183156_CELL134_N2","K183156","Keloid","Matrix-remodeling fibroblasts","Y_39",0.654069919242795,0.58579246046548,0.5,0.5
"K183156_CELL147_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.982280247799993,0,1,0
"K183156_CELL197_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.972693664824807,0,1,0
"K183156_CELL217_N3","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_114",0.00336166951283117,0.00301074945851801,0.5,0.5
"K183156_CELL243_N4","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.987594025604469,0,1,0
"K183156_CELL256_N5","K183156","Keloid","ECM-producing fibroblasts","Y_31",0.818474537529999,0,1,0
"K183156_CELL258_N5","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.978920361764334,0,1,0
"K183156_CELL273_N2","K183156","Keloid","ECM-producing fibroblasts","Y_43",0,0.772216832188195,0,1
"K183156_CELL281_N1","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.962164795222407,0,1,0
"K183156_CELL353_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.981487235421929,0,1,0
"K183156_CELL373_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.984503409759736,0,1,0
"K183156_CELL433_N4","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.999175052049788,0,1,0
"K183156_CELL466_N2","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_44",0,0.742245130853351,0,1
"K183156_CELL470_N2","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.964703923548782,0,1,0
"K183156_CELL473_N1","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.977632713502968,0,1,0
"K183156_CELL484_N2","K183156","Keloid","ECM-producing fibroblasts","Y_40",0,0.656983851224404,0,1
"K183156_CELL499_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.979716420649574,0,1,0
"K183156_CELL545_N2","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.996582339194628,0,1,0
"K183156_CELL561_N7","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.989672096724183,0,1,0
"K183156_CELL638_N2","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_15",0.846698350806731,0,1,0
"K183156_CELL644_N4","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.997436822180622,0,1,0
"K183156_CELL654_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.972521317687839,0,1,0
"K183156_CELL673_N2","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.975352373051928,0,1,0
"K183156_CELL691_N4","K183156","Keloid","ECM-producing fibroblasts","Y_14",0,0.702082599890818,0,1
"K183156_CELL708_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.977909670780272,0,1,0
"K183156_CELL755_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.989840513288266,0,1,0
"K183156_CELL762_N2","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_56",0.958741712432712,0,1,0
"K183156_CELL765_N2","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.947039327775522,0,1
"K183156_CELL793_N2","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.994179811597183,0,1,0
"K183156_CELL820_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_61",0.946352387260015,0,1,0
"K183156_CELL890_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_11",0.928336027660757,0,1,0
"K183156_CELL928_N4","K183156","Keloid","ECM-producing fibroblasts","Y_40",0,0.657652198752659,0,1
"K183156_CELL962_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.973649694965455,0,1,0
"K183156_CELL1019_N5","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.986646153323323,0,1,0
"K183156_CELL1056_N3","K183156","Keloid","ECM-producing fibroblasts","Y_61",0.936671412479784,0,1,0
"K183156_CELL1080_N2","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_3",0.897381846676,0,1,0
"K183156_CELL1105_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",1,0,1,0
"K183156_CELL1129_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.966948747719103,0,1,0
"K183156_CELL1265_N5","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.971761732532279,0,1,0
"K183156_CELL1278_N2","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.969029566369885,0,1,0
"K183156_CELL1314_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.977134316739373,0,1,0
"K183156_CELL1374_N4","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.984294560592488,0,1
"K183156_CELL1393_N6","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.993219086801411,0,1,0
"K183156_CELL1402_N2","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.978036077948267,0,1,0
"K183156_CELL1420_N2","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_10",0,0.745804410047751,0,1
"K183156_CELL1441_N5","K183156","Keloid","ECM-producing fibroblasts","Y_72",0,0.715484191798789,0,1
"K183156_CELL1444_N2","K183156","Keloid","ECM-producing fibroblasts","Y_59",0.687877340793281,0.61607077180409,0.5,0.5
"K183156_CELL1454_N2","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_114",0.0175616552633061,0.0157284182376836,0.5,0.5
"K183156_CELL1489_N5","K183156","Keloid","ECM-producing fibroblasts","Y_66",0.524774774913588,0.469994258324448,0.5,0.5
"K183156_CELL1614_N2","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.975044312798512,0,1,0
"K183156_CELL1662_N2","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.97702143475219,0,1,0
"K183156_CELL1675_N4","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.992098096363759,0,1,0
"K183156_CELL1694_N3","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_1",0,0.893208191832534,0,1
"K183156_CELL1727_N2","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.987917965279651,0,1,0
"K183156_CELL1729_N3","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.949568443252651,0,1
"K183156_CELL1811_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.979245786567194,0,1,0
"K183156_CELL1827_N2","K183156","Keloid","ECM-producing fibroblasts","Y_54",0.83255326823582,0,1,0
"K183156_CELL1828_N6","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.974981154143434,0,1,0
"K183156_CELL1884_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.975421749799748,0,1,0
"K183156_CELL1943_N4","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.994342635901111,0,1,0
"K183156_CELL1957_N2","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.981325073906202,0,1,0
"K183156_CELL1963_N3","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.950376373903432,0,1
"K183156_CELL1973_N3","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_39",0.658802634636022,0.590031134211692,0.5,0.5
"K183156_CELL1979_N4","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.972008158097617,0,1,0
"K183156_CELL2019_N4","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.983366231565906,0,1,0
"K183156_CELL2048_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.987535515310906,0,1,0
"K183156_CELL2078_N2","K183156","Keloid","ECM-producing fibroblasts","Y_68",0.957156185247099,0,1,0
"K183156_CELL2081_N2","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.968365429444291,0,1
"K183156_CELL2091_N3","K183156","Keloid","ECM-producing fibroblasts","Y_8",0.875577266405598,0,1,0
"K183156_CELL2113_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.985078191624507,0,1,0
"K183156_CELL2138_N3","K183156","Keloid","ECM-producing fibroblasts","Y_22",0.783176826567378,0,1,0
"K183156_CELL2159_N5","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.982427152380077,0,1,0
"K183156_CELL2178_N3","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.977225119367852,0,1,0
"K183156_CELL2231_N4","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_61",0.941033959632922,0,1,0
"K183156_CELL2242_N2","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.990090644798929,0,1,0
"K183156_CELL2337_N3","K183156","Keloid","ECM-producing fibroblasts","Y_5",0.884465950994552,0,1,0
"K183156_CELL2359_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.963628631394249,0,1,0
"K183156_CELL2371_N2","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.9797102914101,0,1,0
"K183156_CELL2428_N2","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.980194840856733,0,1,0
"K183156_CELL2433_N2","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.964614628125344,0,1,0
"K183156_CELL2447_N3","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.987492456239023,0,1
"K183156_CELL2454_N4","K183156","Keloid","Matrix-remodeling fibroblasts","Y_59",0.673220652995203,0.602944075475584,0.5,0.5
"K183156_CELL2473_N2","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.957076184529864,0,1
"K183156_CELL2499_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.970117303530409,0,1,0
"K183156_CELL2529_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.966720562472128,0,1,0
"K183156_CELL2551_N2","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_114",0.0199793626302696,0.017893744459716,0.5,0.5
