"lineage","vertex_order","vertex"
"mixed_remodeling_branch",1,"Y_114"
"mixed_remodeling_branch",2,"Y_20"
"mixed_remodeling_branch",3,"Y_103"
"mixed_remodeling_branch",4,"Y_117"
"mixed_remodeling_branch",5,"Y_115"
"mixed_remodeling_branch",6,"Y_112"
"mixed_remodeling_branch",7,"Y_111"
"mixed_remodeling_branch",8,"Y_98"
"mixed_remodeling_branch",9,"Y_119"
"mixed_remodeling_branch",10,"Y_108"
"mixed_remodeling_branch",11,"Y_90"
"mixed_remodeling_branch",12,"Y_97"
"mixed_remodeling_branch",13,"Y_87"
"mixed_remodeling_branch",14,"Y_93"
"mixed_remodeling_branch",15,"Y_99"
"mixed_remodeling_branch",16,"Y_105"
"mixed_remodeling_branch",17,"Y_113"
"mixed_remodeling_branch",18,"Y_102"
"mixed_remodeling_branch",19,"Y_83"
"mixed_remodeling_branch",20,"Y_82"
"mixed_remodeling_branch",21,"Y_96"
"mixed_remodeling_branch",22,"Y_104"
"mixed_remodeling_branch",23,"Y_116"
"mixed_remodeling_branch",24,"Y_70"
"mixed_remodeling_branch",25,"Y_91"
"mixed_remodeling_branch",26,"Y_95"
"mixed_remodeling_branch",27,"Y_109"
"mixed_remodeling_branch",28,"Y_89"
"mixed_remodeling_branch",29,"Y_94"
"mixed_remodeling_branch",30,"Y_107"
"mixed_remodeling_branch",31,"Y_118"
"mixed_remodeling_branch",32,"Y_100"
"mixed_remodeling_branch",33,"Y_92"
"mixed_remodeling_branch",34,"Y_88"
"mixed_remodeling_branch",35,"Y_110"
"mixed_remodeling_branch",36,"Y_67"
"mixed_remodeling_branch",37,"Y_32"
"mixed_remodeling_branch",38,"Y_60"
"mixed_remodeling_branch",39,"Y_120"
"mixed_remodeling_branch",40,"Y_33"
"mixed_remodeling_branch",41,"Y_81"
"mixed_remodeling_branch",42,"Y_77"
"mixed_remodeling_branch",43,"Y_101"
"mixed_remodeling_branch",44,"Y_106"
"mixed_remodeling_branch",45,"Y_86"
"mixed_remodeling_branch",46,"Y_84"
"mixed_remodeling_branch",47,"Y_75"
"mixed_remodeling_branch",48,"Y_55"
"mixed_remodeling_branch",49,"Y_51"
"mixed_remodeling_branch",50,"Y_64"
"mixed_remodeling_branch",51,"Y_74"
"mixed_remodeling_branch",52,"Y_66"
"mixed_remodeling_branch",53,"Y_85"
"mixed_remodeling_branch",54,"Y_18"
"mixed_remodeling_branch",55,"Y_71"
"mixed_remodeling_branch",56,"Y_79"
"mixed_remodeling_branch",57,"Y_21"
"mixed_remodeling_branch",58,"Y_42"
"mixed_remodeling_branch",59,"Y_76"
"mixed_remodeling_branch",60,"Y_12"
"mixed_remodeling_branch",61,"Y_53"
"mixed_remodeling_branch",62,"Y_73"
"mixed_remodeling_branch",63,"Y_39"
"mixed_remodeling_branch",64,"Y_59"
"mixed_remodeling_branch",65,"Y_27"
"mixed_remodeling_branch",66,"Y_16"
"mixed_remodeling_branch",67,"Y_7"
"mixed_remodeling_branch",68,"Y_49"
"mixed_remodeling_branch",69,"Y_24"
"mixed_remodeling_branch",70,"Y_17"
"mixed_remodeling_branch",71,"Y_19"
"mixed_remodeling_branch",72,"Y_45"
"mixed_remodeling_branch",73,"Y_58"
"mixed_remodeling_branch",74,"Y_34"
"mixed_remodeling_branch",75,"Y_23"
"mixed_remodeling_branch",76,"Y_22"
"mixed_remodeling_branch",77,"Y_28"
"mixed_remodeling_branch",78,"Y_13"
"mixed_remodeling_branch",79,"Y_31"
"mixed_remodeling_branch",80,"Y_54"
"mixed_remodeling_branch",81,"Y_15"
"mixed_remodeling_branch",82,"Y_25"
