"gene","spearman_rho.mixed_remodeling_branch","fdr.mixed_remodeling_branch","spearman_rho.ecm_dominant_branch","fdr.ecm_dominant_branch","branch_pattern","original_module"
"LAMC3",-0.503006567764177,5.06508778115145e-57,-0.459996570051099,1.37632372798614e-36,"common_decreasing","D1_early_decreasing"
"SEMA3G",-0.482756823956002,4.84302348441599e-52,-0.499768762499386,7.24540631350649e-44,"common_decreasing","D1_early_decreasing"
"IGFBP3",-0.469825367842951,4.97572684314938e-49,-0.543549538372775,4.79122614997154e-53,"common_decreasing","D1_early_decreasing"
"ALX4",-0.470747413996546,3.05323458742602e-49,-0.447704358596634,1.54577888128568e-34,"common_decreasing","D1_early_decreasing"
"COL23A1",-0.468652439669376,9.20684531683778e-49,-0.411139815616479,7.65141147386203e-29,"common_decreasing","D1_early_decreasing"
"TFAP2A",-0.462794375921268,1.92232353862614e-47,-0.484723889453688,5.41089747396014e-41,"common_decreasing","D1_early_decreasing"
"TCF4",-0.537960516053334,1.74502770174296e-66,-0.363111178161126,2.41869356462295e-22,"common_decreasing","D1_early_decreasing"
"BMP7",-0.422746132370856,4.12398127000015e-39,-0.435630041896498,1.44391335563344e-32,"common_decreasing","D1_early_decreasing"
"BMP4",-0.406504047833274,4.65702225101519e-36,-0.378478457198233,2.63250184616742e-24,"common_decreasing","D1_early_decreasing"
"SLC5A3",-0.408514472524226,2.01212538388076e-36,-0.413830076879675,3.16974703986025e-29,"common_decreasing","D1_early_decreasing"
"GADD45G",-0.395501792674358,4.51272434484083e-34,-0.418568198847608,6.35120695490449e-30,"common_decreasing","D1_early_decreasing"
"SERPINE2",-0.374037998620586,2.02148270611013e-30,-0.46884897935893,4.35449221973435e-38,"common_decreasing","D1_early_decreasing"
"INHBB",-0.342352498810439,1.63964658599716e-25,-0.342106411417182,7.64962129113076e-20,"common_decreasing","D1_early_decreasing"
"PRLR",-0.35121039527385,7.93593760229974e-27,-0.347009723116268,2.09495703705699e-20,"common_decreasing","D1_early_decreasing"
"TRPS1",-0.45389350391502,1.67037344384547e-45,-0.381703448642401,9.94408071849912e-25,"common_decreasing","D1_early_decreasing"
"TIMP3",-0.37060861323456,7.28895714559504e-30,-0.367962843633713,5.95601268236431e-23,"common_decreasing","D1_early_decreasing"
"PRDM1",-0.356522103618794,1.23317943656923e-27,-0.347498463982877,1.83828164557836e-20,"common_decreasing","D1_early_decreasing"
"PTCH1",-0.351654869173933,6.78308797045106e-27,-0.314449582717171,7.93999070035974e-17,"common_decreasing","D1_early_decreasing"
"APCDD1",-0.323863062938559,6.84632122247704e-23,-0.27913803183153,2.0458170464612e-13,"common_decreasing","D1_early_decreasing"
"DAAM2",-0.347261643990608,3.11491256755065e-26,-0.288856393049829,2.66257631023748e-14,"common_decreasing","D1_early_decreasing"
"INHBA",-0.309987600878532,4.88123024161581e-21,-0.490536381140136,4.4846541380491e-42,"common_decreasing","D1_early_decreasing"
"BCL2",-0.357563832575436,8.4684364130857e-28,-0.244847260928549,1.51747357657488e-10,"common_decreasing","D1_early_decreasing"
"CENPW",-0.292397267256466,8.29405417777356e-19,-0.370907997815412,2.53258073425981e-23,"common_decreasing","D1_early_decreasing"
"CEBPA",-0.281334685299285,1.74476389563219e-17,-0.333060730698547,7.95472299087048e-19,"common_decreasing","D1_early_decreasing"
"IGFBP2",-0.282565627001374,1.24939992570993e-17,-0.328660738436262,2.42603277907426e-18,"common_decreasing","D1_early_decreasing"
"MRPS6",-0.25452911214744,1.67105638744354e-14,-0.391342296342069,4.97003958413453e-26,"common_decreasing","D1_early_decreasing"
"CRABP1",-0.252071090317388,3.02317489648032e-14,-0.212131051604882,3.33679751143909e-08,"common_decreasing","D1_early_decreasing"
"ROBO2",-0.338698285225507,5.59075654309197e-25,-0.14178323910839,0.000239017424571446,"mixed_remodeling_branch_biased","D1_early_decreasing"
"DKK2",-0.304503788369676,2.49618481488251e-20,-0.242954041595189,2.12886825810671e-10,"common_decreasing","D1_early_decreasing"
"PHLDA1",-0.241621191209951,3.46809995723985e-13,-0.261278144302394,7.31712766801993e-12,"common_decreasing","D1_early_decreasing"
"DIO2",-0.212057802291099,1.95075211331453e-10,-0.301360704258611,1.65532258182762e-15,"common_decreasing","D1_early_decreasing"
"MYLIP",-0.215662721258959,9.43218453585498e-11,-0.289569149333777,2.28641555827006e-14,"common_decreasing","D1_early_decreasing"
