"cell","mode","lineage","pseudotime","weight"
"K183156_CELL11_N5","forced_two_terminal","lineage1",10.8030106665059,1
"K183156_CELL43_N2","forced_two_terminal","lineage1",19.765367564515,1
"K183156_CELL63_N3","forced_two_terminal","lineage1",79.6887474911662,1
"K183156_CELL134_N2","forced_two_terminal","lineage1",70.4701375886172,1
"K183156_CELL147_N3","forced_two_terminal","lineage1",80.6651017155444,1
"K183156_CELL197_N3","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL217_N3","forced_two_terminal","lineage1",47.1588932228352,1
"K183156_CELL243_N4","forced_two_terminal","lineage1",80.6867159710858,1
"K183156_CELL256_N5","forced_two_terminal","lineage1",69.4702867433133,1
"K183156_CELL258_N5","forced_two_terminal","lineage1",NA,0
"K183156_CELL273_N2","forced_two_terminal","lineage1",74.22390476995,1
"K183156_CELL281_N1","forced_two_terminal","lineage1",72.0211379630129,1
"K183156_CELL353_N3","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL373_N3","forced_two_terminal","lineage1",NA,0
"K183156_CELL433_N4","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL466_N2","forced_two_terminal","lineage1",65.4235107501385,0.72697051917861
"K183156_CELL470_N2","forced_two_terminal","lineage1",76.1434711421115,1
"K183156_CELL473_N1","forced_two_terminal","lineage1",73.4386110757795,1
"K183156_CELL484_N2","forced_two_terminal","lineage1",77.6498527224014,1
"K183156_CELL499_N3","forced_two_terminal","lineage1",69.9769848001092,1
"K183156_CELL545_N2","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL561_N7","forced_two_terminal","lineage1",NA,0
"K183156_CELL638_N2","forced_two_terminal","lineage1",63.2603595130784,1
"K183156_CELL644_N4","forced_two_terminal","lineage1",81.1964007798118,1
"K183156_CELL654_N3","forced_two_terminal","lineage1",79.2585023388794,0.898933537721466
"K183156_CELL673_N2","forced_two_terminal","lineage1",78.8362469201321,1
"K183156_CELL691_N4","forced_two_terminal","lineage1",73.7794585304106,1
"K183156_CELL708_N3","forced_two_terminal","lineage1",73.5410342919842,1
"K183156_CELL755_N3","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL762_N2","forced_two_terminal","lineage1",64.3430877633033,0.771746216601554
"K183156_CELL765_N2","forced_two_terminal","lineage1",9.62204539959036,1
"K183156_CELL793_N2","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL820_N3","forced_two_terminal","lineage1",65.1567374066118,1
"K183156_CELL890_N3","forced_two_terminal","lineage1",NA,0
"K183156_CELL928_N4","forced_two_terminal","lineage1",79.3171091803644,1
"K183156_CELL962_N3","forced_two_terminal","lineage1",72.6886849339783,1
"K183156_CELL1019_N5","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL1056_N3","forced_two_terminal","lineage1",73.1491186019603,1
"K183156_CELL1080_N2","forced_two_terminal","lineage1",63.4439236088554,0.673525294391259
"K183156_CELL1105_N3","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL1129_N3","forced_two_terminal","lineage1",NA,0
"K183156_CELL1265_N5","forced_two_terminal","lineage1",70.852904041515,1
"K183156_CELL1278_N2","forced_two_terminal","lineage1",70.656972653881,1
"K183156_CELL1314_N3","forced_two_terminal","lineage1",66.8542428085661,1
"K183156_CELL1374_N4","forced_two_terminal","lineage1",0.269196357112983,1
"K183156_CELL1393_N6","forced_two_terminal","lineage1",82.7787760599487,1
"K183156_CELL1402_N2","forced_two_terminal","lineage1",77.76796320726,1
"K183156_CELL1420_N2","forced_two_terminal","lineage1",63.9400241712081,0.550977268894273
"K183156_CELL1441_N5","forced_two_terminal","lineage1",71.7178816894964,1
"K183156_CELL1444_N2","forced_two_terminal","lineage1",70.318475421415,1
"K183156_CELL1454_N2","forced_two_terminal","lineage1",47.0552486790668,1
"K183156_CELL1489_N5","forced_two_terminal","lineage1",68.5804130785187,1
"K183156_CELL1614_N2","forced_two_terminal","lineage1",NA,0
"K183156_CELL1662_N2","forced_two_terminal","lineage1",80.4567177417437,1
"K183156_CELL1675_N4","forced_two_terminal","lineage1",79.2826792782693,1
"K183156_CELL1694_N3","forced_two_terminal","lineage1",21.5611131534358,1
"K183156_CELL1727_N2","forced_two_terminal","lineage1",74.0978092878564,1
"K183156_CELL1729_N3","forced_two_terminal","lineage1",6.58669024018335,1
"K183156_CELL1811_N3","forced_two_terminal","lineage1",82.8084964022606,1
"K183156_CELL1827_N2","forced_two_terminal","lineage1",74.0799494383062,1
