"gene_set","database","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"clean_D1","GO_BP","GO:0048608","reproductive structure development","9/40","25/979",0.36,8.811,8.16148302570065,1.59253810975572e-07,6.42658258430168e-05,4.35014886595349e-05,"BMP7/BMP4/SERPINE2/INHBB/PRLR/PTCH1/INHBA/BCL2/ROBO2",9
"clean_D1","GO_BP","GO:0030154","cell differentiation","28/40","301/979",0.0930232558139535,2.27674418604651,5.49084161658387,2.06305648739564e-07,6.42658258430168e-05,4.35014886595349e-05,"LAMC3/SEMA3G/IGFBP3/ALX4/TFAP2A/TCF4/BMP7/BMP4/GADD45G/SERPINE2/INHBB/PRLR/TRPS1/PRDM1/PTCH1/APCDD1/DAAM2/INHBA/BCL2/CEBPA/IGFBP2/ROBO2/MYLIP/PREX2/TNN/TWIST1/ITGA8/SOX18",28
"clean_D1","GO_BP","GO:0048869","cellular developmental process","28/40","301/979",0.0930232558139535,2.27674418604651,5.49084161658387,2.06305648739564e-07,6.42658258430168e-05,4.35014886595349e-05,"LAMC3/SEMA3G/IGFBP3/ALX4/TFAP2A/TCF4/BMP7/BMP4/GADD45G/SERPINE2/INHBB/PRLR/TRPS1/PRDM1/PTCH1/APCDD1/DAAM2/INHBA/BCL2/CEBPA/IGFBP2/ROBO2/MYLIP/PREX2/TNN/TWIST1/ITGA8/SOX18",28
"clean_D1","GO_BP","GO:0061458","reproductive system development","9/40","26/979",0.346153846153846,8.47211538461538,7.9661855937771,2.3648877955112e-07,6.42658258430168e-05,4.35014886595349e-05,"BMP7/BMP4/SERPINE2/INHBB/PRLR/PTCH1/INHBA/BCL2/ROBO2",9
"clean_D1","GO_BP","GO:0022008","neurogenesis","18/40","130/979",0.138461538461538,3.38884615384615,6.03354615380025,4.77043547057888e-07,9.49888133124231e-05,6.42978555225718e-05,"LAMC3/SEMA3G/ALX4/TCF4/BMP7/BMP4/SERPINE2/PRDM1/PTCH1/APCDD1/DAAM2/INHBA/BCL2/ROBO2/MYLIP/PREX2/TNN/TWIST1",18
"clean_D1","GO_BP","GO:0007399","nervous system development","21/40","178/979",0.117977528089888,2.8875,5.74311258883393,5.24317276793504e-07,9.49888133124231e-05,6.42978555225718e-05,"LAMC3/SEMA3G/ALX4/TFAP2A/TCF4/BMP7/BMP4/SERPINE2/INHBB/PRDM1/PTCH1/APCDD1/DAAM2/INHBA/BCL2/ROBO2/MYLIP/PREX2/TNN/TWIST1/ITGA8",21
"clean_D1","GO_BP","GO:0045595","regulation of cell differentiation","18/40","134/979",0.134328358208955,3.28768656716418,5.88013360167025,7.75699051020125e-07,0.000120454981208411,8.15358852124913e-05,"SEMA3G/IGFBP3/TFAP2A/TCF4/BMP7/BMP4/SERPINE2/PRLR/TRPS1/PRDM1/PTCH1/DAAM2/INHBA/BCL2/CEBPA/IGFBP2/ROBO2/TWIST1",18
"clean_D1","GO_BP","GO:0030326","embryonic limb morphogenesis","6/40","11/979",0.545454545454545,13.35,8.4975210374312,1.26481478998302e-06,0.000152761519634616,0.000103404156514401,"ALX4/TFAP2A/BMP7/BMP4/PTCH1/TWIST1",6
"clean_D1","GO_BP","GO:0035113","embryonic appendage morphogenesis","6/40","11/979",0.545454545454545,13.35,8.4975210374312,1.26481478998302e-06,0.000152761519634616,0.000103404156514401,"ALX4/TFAP2A/BMP7/BMP4/PTCH1/TWIST1",6
"clean_D1","GO_BP","GO:0048568","embryonic organ development","10/40","40/979",0.25,6.11875,6.81911077558074,1.42112258388044e-06,0.000154476024867803,0.000104564703803413,"ALX4/TFAP2A/BMP7/BMP4/PRDM1/PTCH1/CEBPA/TWIST1/ITGA8/SOX18",10
