"gene_set","database","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"clean_D1","MSigDB_Hallmark","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","5/17","21/448",0.238095238095238,6.27450980392157,4.91153678371261,0.000592165415428373,0.00947464664685396,0.00872664822736549,"IGFBP3/GADD45G/PRDM1/INHBA/CPE",5
"clean_D1","MSigDB_Hallmark","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","3/17","18/448",0.166666666666667,4.3921568627451,2.91418782176763,0.0260474215600365,0.198760866336002,0.183069218993686,"PRLR/BCL2/CPE",3
"clean_D1","MSigDB_Hallmark","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","3/17","23/448",0.130434782608696,3.43734015345269,2.3808124416114,0.0501663336142146,0.198760866336002,0.183069218993686,"PTCH1/BCL2/PHLDA1",3
"clean_D1","MSigDB_Hallmark","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","3/17","23/448",0.130434782608696,3.43734015345269,2.3808124416114,0.0501663336142146,0.198760866336002,0.183069218993686,"INHBB/CEBPA/F2R",3
"clean_D1","MSigDB_Hallmark","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","3/17","25/448",0.12,3.16235294117647,2.20732351109336,0.0621127707300007,0.198760866336002,0.183069218993686,"INHBB/INHBA/F2R",3
"clean_D1","MSigDB_Hallmark","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","2/17","17/448",0.117647058823529,3.10034602076125,1.7515246797738,0.131883967966936,0.290227072535597,0.267314408914366,"INHBB/BCL2",2
"clean_D1","MSigDB_Hallmark","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","2/17","18/448",0.111111111111111,2.9281045751634,1.65642660389489,0.145113536267798,0.290227072535597,0.267314408914366,"TIMP3/F2R",2
"clean_D1","MSigDB_Hallmark","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","2/17","18/448",0.111111111111111,2.9281045751634,1.65642660389489,0.145113536267798,0.290227072535597,0.267314408914366,"INHBA/PHLDA1",2
"clean_D1","MSigDB_Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","5/17","97/448",0.0515463917525773,1.35839902971498,0.791113364642271,0.297791055724719,0.52940632128839,0.487611085397201,"IGFBP3/SERPINE2/TIMP3/INHBA/IGFBP2",5
"clean_D1","MSigDB_Hallmark","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","2/17","33/448",0.0606060606060606,1.59714795008913,0.707057046093543,0.36080913817352,0.577294621077633,0.531718729939925,"IGFBP3/BCL2",2
