"gene_set","gene"
"clean_D1","LAMC3"
"clean_D1","SEMA3G"
"clean_D1","IGFBP3"
"clean_D1","ALX4"
"clean_D1","COL23A1"
"clean_D1","TFAP2A"
"clean_D1","TCF4"
"clean_D1","BMP7"
"clean_D1","BMP4"
"clean_D1","SLC5A3"
"clean_D1","GADD45G"
"clean_D1","SERPINE2"
"clean_D1","INHBB"
"clean_D1","PRLR"
"clean_D1","TRPS1"
"clean_D1","TIMP3"
"clean_D1","PRDM1"
"clean_D1","PTCH1"
"clean_D1","APCDD1"
"clean_D1","DAAM2"
"clean_D1","INHBA"
"clean_D1","BCL2"
"clean_D1","CENPW"
"clean_D1","CEBPA"
"clean_D1","IGFBP2"
"clean_D1","CRABP1"
"clean_D1","ROBO2"
"clean_D1","DKK2"
"clean_D1","PHLDA1"
"clean_D1","DIO2"
"clean_D1","MYLIP"
"clean_D1","LUZP2"
"clean_D1","ZDHHC14"
"clean_D1","PGM2L1"
"clean_D1","PREX2"
"clean_D1","TNN"
"clean_D1","F2R"
"clean_D1","PLEKHH2"
"clean_D1","TWIST1"
"clean_D1","ITGA8"
"clean_D1","CPE"
"clean_D1","SOX18"
"clean_D2","TMEM258"
"clean_D2","POLDIP2"
"clean_D2","PLXNA3"
"clean_D2","RAB24"
"clean_D2","MARVELD1"
"clean_D2","CMKLR1"
"clean_D2","PTPMT1"
"clean_D2","RNF11"
"clean_D2","C6orf1"
"clean_D2","SSNA1"
"clean_D2","PSMC4"
"clean_D2","NPC2"
"clean_D2","SAT2"
"clean_D2","NDUFB11"
"clean_D2","DCHS1"
"clean_D2","HAS2"
"clean_D2","NDUFA4"
"clean_D2","ACTN1"
"clean_D2","RAB1B"
"clean_D2","HIGD2A"
"clean_D2","TMEM160"
"clean_D2","ILVBL"
"clean_D2","TMEM9"
"clean_D2","PMP22"
"clean_D2","RIC8A"
"clean_D2","COX7B"
"clean_D2","YIPF3"
"clean_D2","TEN1"
"clean_D2","FASTK"
"clean_D2","FAM162A"
"clean_D2","TSR3"
"clean_D2","PRELP"
"clean_D2","GORASP2"
"clean_D2","ECH1"
"clean_D2","GSTO1"
"clean_D2","PRMT2"
"clean_D2","SUB1"
"clean_D2","HLA-A"
"clean_D2","ANXA2"
"clean_D2","CREB3"
"clean_D2","PLP2"
"clean_D2","ALDOA"
"clean_D2","CCDC92"
"clean_D2","IFITM1"
"clean_D2","SCAND1"
"clean_D2","CD68"
"clean_D2","NKIRAS2"
"clean_D2","NRP2"
"clean_D2","PLXNA2"
"clean_D2","C4orf3"
"clean_D2","RBCK1"
"clean_D2","PKM"
"clean_D2","MAGOHB"
"clean_D2","MAP2K2"
"clean_D2","ORMDL3"
"clean_D2","CDIPT"
"clean_D2","AGPAT1"
"clean_D2","CFL1"
"clean_D2","PACS2"
"clean_D2","GJA1"
"clean_D2","KDELR1"
"clean_D2","ZNF593"
"clean_D2","CORO1C"
"clean_D2","RTN4RL2"
"clean_D2","PSME2"
"clean_D2","AKR1B1"
"clean_D2","CYSTM1"
"clean_D2","SNX3"
"clean_D2","BCL7C"
"clean_D2","PODNL1"
"clean_D2","GALNT15"
"clean_D2","PPP1R14B"
"clean_D2","HOXB7"
"clean_D2","ADGRA2"
"clean_D2","NUCB2"
"clean_D2","ANXA5"
"clean_D2","ATP5J2"
"clean_D2","CAPNS1"
"clean_D2","ATP5G3"
"clean_D2","MBOAT7"
"clean_D2","WDR45"
"clean_D2","SLC35A4"
"clean_D2","CSF1"
"clean_D2","TES"
"clean_D2","C11orf98"
"clean_D2","PDIA6"
"clean_D2","NDUFS7"
"clean_D2","CMBL"
"clean_D2","POP7"
"clean_D2","POLE4"
"clean_D2","PREB"
"clean_D2","MPC2"
"clean_D2","MIEN1"
"clean_D2","CA12"
"clean_D2","PDGFD"
"clean_D2","COX14"
"clean_D2","MINOS1"
"clean_D2","NTMT1"
"clean_D2","MAPK6"
"clean_D2","FAM20A"
"clean_D2","GAPDH"
"clean_D2","GADD45GIP1"
"clean_D2","FIS1"
"clean_D2","ASNA1"
"clean_D2","MAPKAPK2"
"clean_D2","PCNXL3"
"clean_D2","KLF7"
"clean_D2","MEA1"
"clean_D2","TMEM98"
"clean_D2","DCTN1"
"clean_D2","APOL1"
"clean_D2","SMPD1"
"clean_D2","RPN1"
"clean_D2","FRZB"
"clean_D2","CLIP1"
"clean_D2","TMEM263"
"clean_D2","CYC1"
"clean_D2","DGCR6L"
"clean_D2","R3HDM4"
"clean_D2","LSM7"
"clean_D2","CARM1"
"clean_D2","KCTD12"
"clean_D2","SLC25A5"
"clean_D2","CHMP1A"
"clean_D2","ABHD17A"
"clean_D2","COX7A1"
"clean_D2","TIAM2"
"clean_D2","AURKAIP1"
"clean_D2","SLC31A1"
"clean_D2","ARFGAP3"
"clean_D2","NME3"
"clean_D2","UFC1"
"clean_D2","NDUFA2"
"clean_D2","FSCN1"
"clean_D2","DLG1"
"clean_D2","PCED1A"
"clean_D2","BLOC1S1"
"clean_D2","COL8A2"
"clean_D2","LZTS1"
"clean_D2","LSP1"
"clean_D2","KIF1C"
"clean_D2","CMTM3"
"clean_D2","WDR46"
"clean_D2","EFHD2"
"clean_D2","MGP"
"clean_D2","XPOT"
"clean_D2","PKIG"
"clean_D2","BCL3"
