"cell","sample","condition","program","closest_vertex","homeostatic_score","clean_D1_score","clean_D2_score","old_pseudotime"
"K183156_CELL11_N5","K183156","Keloid","ECM-producing fibroblasts","Y_1",0,0.120236891526816,0.38641811055973,21.9053075087703
"K183156_CELL43_N2","K183156","Keloid","ECM-producing fibroblasts","Y_1",0.224030170588545,0.147783592040178,0.403848793590593,20.9010744280011
"K183156_CELL63_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0,0.0409250674497382,0.397345892843652,20.08026066242
"K183156_CELL134_N2","K183156","Keloid","Matrix-remodeling fibroblasts","Y_39",0,0,0.290611578226876,13.4641732905075
"K183156_CELL147_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.0977772822679133,0.0663145454329021,0.438116889125192,20.220455164079
"K183156_CELL197_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0,0.051338662810265,0.380749279421235,20.0231132429108
"K183156_CELL217_N3","K183156","Keloid","Homeostatic/regulatory fibroblasts","Y_114",0.752745735206869,0.589880462236897,0.150672174213184,0.0692007070414947
"K183156_CELL243_N4","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.0870509101129351,0.0596762601452001,0.463561353418979,20.3298404500887
"K183156_CELL256_N5","K183156","Keloid","ECM-producing fibroblasts","Y_31",0.374907414948345,0.0854010450599967,0.337382861003487,16.8484785539895
"K183156_CELL258_N5","K183156","Keloid","Matrix-remodeling fibroblasts","Y_56",0.416085538372874,0.163416474853554,0.385728972075824,20.1512911703078
"K183156_CELL273_N2","K183156","Keloid","ECM-producing fibroblasts","Y_43",0.042256266845662,0.0835560360105939,0.441302256031921,17.7490526903791
"K183156_CELL281_N1","K183156","Keloid","ECM-producing fibroblasts","Y_56",0.489385331531355,0.0493395835664815,0.378705491736519,19.8063741440634
"K183156_CELL353_N3","K183156","Keloid","ECM-producing fibroblasts","Y_56",0,0.016946572546744,0.428428188917093,20.2041308296835
