"gene","dynamic_module","clean_module","expected_sign","smooth_p","edf","endpoint_delta","fit_ok","fdr","direction_concordant","supported","model"
"LAMC3","D1_early_decreasing","clean_D1",-1,0,3.55171422825853,-0.541536690999509,TRUE,0,TRUE,TRUE,"donor_fixed"
"SEMA3G","D1_early_decreasing","clean_D1",-1,0,4.03238609008153,-0.865999454538189,TRUE,0,TRUE,TRUE,"donor_fixed"
"IGFBP3","D1_early_decreasing","clean_D1",-1,0,4.67470912202668,-3.01792343888334,TRUE,0,TRUE,TRUE,"donor_fixed"
"ALX4","D1_early_decreasing","clean_D1",-1,0,3.35995082879379,-0.475643499426948,TRUE,0,TRUE,TRUE,"donor_fixed"
"COL23A1","D1_early_decreasing","clean_D1",-1,0,3.42999666699321,-0.768645421594676,TRUE,0,TRUE,TRUE,"donor_fixed"
"TFAP2A","D1_early_decreasing","clean_D1",-1,0,4.32876158162549,-1.14952403480481,TRUE,0,TRUE,TRUE,"donor_fixed"
"TCF4","D1_early_decreasing","clean_D1",-1,0,4.30592391648192,-0.120263658383021,TRUE,0,TRUE,TRUE,"donor_fixed"
"BMP7","D1_early_decreasing","clean_D1",-1,0,3.68521328343629,-0.414511921285599,TRUE,0,TRUE,TRUE,"donor_fixed"
"BMP4","D1_early_decreasing","clean_D1",-1,0,3.75997516663599,-1.25590836665614,TRUE,0,TRUE,TRUE,"donor_fixed"
"SLC5A3","D1_early_decreasing","clean_D1",-1,0,4.15688859321666,-0.707484825803431,TRUE,0,TRUE,TRUE,"donor_fixed"
"GADD45G","D1_early_decreasing","clean_D1",-1,0,3.89217888040166,-0.849989778162132,TRUE,0,TRUE,TRUE,"donor_fixed"
"SERPINE2","D1_early_decreasing","clean_D1",-1,0,4.38650548113811,-0.960979400020598,TRUE,0,TRUE,TRUE,"donor_fixed"
"INHBB","D1_early_decreasing","clean_D1",-1,0,3.58402570926708,-0.630218985000519,TRUE,0,TRUE,TRUE,"donor_fixed"
"PRLR","D1_early_decreasing","clean_D1",-1,0,3.68442540732365,-0.489204253351011,TRUE,0,TRUE,TRUE,"donor_fixed"
"TRPS1","D1_early_decreasing","clean_D1",-1,0,4.57338355729243,-0.326821736670474,TRUE,0,TRUE,TRUE,"donor_fixed"
"TIMP3","D1_early_decreasing","clean_D1",-1,0,2.34119694444119,-0.741694093995704,TRUE,0,TRUE,TRUE,"donor_fixed"
"PRDM1","D1_early_decreasing","clean_D1",-1,0,4.06575993098999,-0.526973051424342,TRUE,0,TRUE,TRUE,"donor_fixed"
"PTCH1","D1_early_decreasing","clean_D1",-1,0.000621635693826783,2.74805305096656,-0.247832795954102,TRUE,0.000997114355377824,TRUE,TRUE,"donor_fixed"
"APCDD1","D1_early_decreasing","clean_D1",-1,0,1.0000747158893,-0.596481923100593,TRUE,0,TRUE,TRUE,"donor_fixed"
"DAAM2","D1_early_decreasing","clean_D1",-1,4.26711940997304e-05,2.86854627408323,-0.276746222058125,TRUE,8.09955772555154e-05,TRUE,TRUE,"donor_fixed"
"INHBA","D1_early_decreasing","clean_D1",-1,0,4.31908384853725,-1.00361770193663,TRUE,0,TRUE,TRUE,"donor_fixed"
"BCL2","D1_early_decreasing","clean_D1",-1,2.20907426114469e-05,2.63272630153413,-0.320306103897177,TRUE,4.4660850342853e-05,TRUE,TRUE,"donor_fixed"
"CENPW","D1_early_decreasing","clean_D1",-1,0,3.91671457836959,-0.618574510669128,TRUE,0,TRUE,TRUE,"donor_fixed"
"CEBPA","D1_early_decreasing","clean_D1",-1,0,3.50172327557307,-0.427157058808766,TRUE,0,TRUE,TRUE,"donor_fixed"
"IGFBP2","D1_early_decreasing","clean_D1",-1,0,2.93896135851254,-0.465024692537383,TRUE,0,TRUE,TRUE,"donor_fixed"
"MRPS6","D1_early_decreasing","none",-1,0,3.77179444740739,-0.937863459769071,TRUE,0,TRUE,TRUE,"donor_fixed"
"CRABP1","D1_early_decreasing","clean_D1",-1,3.52052274320558e-05,1.92528721597648,-0.332284762701681,TRUE,6.76279111151862e-05,TRUE,TRUE,"donor_fixed"
"ROBO2","D1_early_decreasing","clean_D1",-1,2.85715976096057e-05,4.36155135128898,0.0830583558607819,TRUE,5.62377572667943e-05,FALSE,FALSE,"donor_fixed"
"DKK2","D1_early_decreasing","clean_D1",-1,0,4.1083767065874,-0.635497425284475,TRUE,0,TRUE,TRUE,"donor_fixed"
"PHLDA1","D1_early_decreasing","clean_D1",-1,0.000751291127273179,3.02340630161085,-0.254271039620665,TRUE,0.00118972164347226,TRUE,TRUE,"donor_fixed"
"DIO2","D1_early_decreasing","clean_D1",-1,1.41073622256238e-06,3.92080877910777,-0.584073086618116,TRUE,3.41385951693667e-06,TRUE,TRUE,"donor_fixed"
"MYLIP","D1_early_decreasing","clean_D1",-1,0,2.82859666761626,-0.507296927266572,TRUE,0,TRUE,TRUE,"donor_fixed"
"LUZP2","D1_early_decreasing","clean_D1",-1,0,3.99686059150482,-0.85828134536928,TRUE,0,TRUE,TRUE,"donor_fixed"
"ZDHHC14","D1_early_decreasing","clean_D1",-1,0.000518063083110198,3.74593350560241,-0.124749014343067,TRUE,0.000843077913998838,TRUE,TRUE,"donor_fixed"
"PGM2L1","D1_early_decreasing","clean_D1",-1,0,3.867264869995,-0.532914539235978,TRUE,0,TRUE,TRUE,"donor_fixed"
"PREX2","D1_early_decreasing","clean_D1",-1,0.561659621529489,1.00083969189652,-0.0362172403316953,TRUE,0.574506364931353,TRUE,FALSE,"donor_fixed"
"TNN","D1_early_decreasing","clean_D1",-1,2.11704851644234e-05,2.7628957915337,-0.328509776801884,TRUE,4.28779029235967e-05,TRUE,TRUE,"donor_fixed"
"F2R","D1_early_decreasing","clean_D1",-1,4.85906183049778e-05,3.21939753368772,-0.428569385750596,TRUE,9.11481732633644e-05,TRUE,TRUE,"donor_fixed"
"PLEKHH2","D1_early_decreasing","clean_D1",-1,4.08524740980187e-07,4.61852693958432,0.105422502968622,TRUE,1.05969990815742e-06,FALSE,FALSE,"donor_fixed"
"HIST1H2BD","D1_early_decreasing","none",-1,0.000133554986523232,2.74295084006627,-0.238540176273376,TRUE,0.000236257080590148,TRUE,TRUE,"donor_fixed"
"TWIST1","D1_early_decreasing","clean_D1",-1,2.11086426460394e-06,3.13156420829987,-0.449411578208097,TRUE,4.93712604147951e-06,TRUE,TRUE,"donor_fixed"
"HIST2H2BE","D1_early_decreasing","none",-1,0.0123638946808406,2.58110155195412,-0.148275318859897,TRUE,0.0160917744507332,TRUE,TRUE,"donor_fixed"
"ITGA8","D1_early_decreasing","clean_D1",-1,0.00035766437879059,3.73041578429168,-0.0440818238178068,TRUE,0.000595066308592926,TRUE,TRUE,"donor_fixed"
"CPE","D1_early_decreasing","clean_D1",-1,0,3.86808545608471,-0.867113375043343,TRUE,0,TRUE,TRUE,"donor_fixed"
