"gene","dynamic_module","clean_module","expected_sign","scheme","n_repeats","median_rho","expected_direction_fraction","strong_expected_fraction","direction_retained_in_at_least_80pct_repeats"
"LAMC3","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.448190087477384,1,1,TRUE
"LAMC3","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.457871378669625,1,1,TRUE
"SEMA3G","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.506299334688716,1,1,TRUE
"SEMA3G","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.472600682169425,1,1,TRUE
"IGFBP3","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.448857873589401,1,1,TRUE
"IGFBP3","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.472304844509601,1,0.99,TRUE
"ALX4","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.430489937769976,1,1,TRUE
"ALX4","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.357141403473655,1,0.93,TRUE
"COL23A1","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.433399764645054,1,0.99,TRUE
"COL23A1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.414081570591061,1,1,TRUE
"TFAP2A","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.483958127288883,1,1,TRUE
"TFAP2A","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.438660615632509,1,0.98,TRUE
"TCF4","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.38153953622137,1,1,TRUE
"TCF4","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.351455794067387,1,0.97,TRUE
"BMP7","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.459269412611447,1,1,TRUE
"BMP7","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.445887328877969,1,0.98,TRUE
"BMP4","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.433077613857545,1,1,TRUE
"BMP4","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.379856745363448,1,1,TRUE
"SLC5A3","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.285284212113381,1,0.97,TRUE
"SLC5A3","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.290165756342864,1,0.76,TRUE
"GADD45G","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.337832773601482,1,0.99,TRUE
"GADD45G","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.338531424952832,1,0.9,TRUE
"SERPINE2","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.318934022460256,1,0.99,TRUE
"SERPINE2","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.41901475152047,1,0.99,TRUE
"INHBB","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.349380870572351,1,0.92,TRUE
"INHBB","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.327713711633203,1,1,TRUE
"PRLR","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.303781307559256,1,0.86,TRUE
"PRLR","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.303879455565419,1,1,TRUE
"TRPS1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.363534839608731,1,1,TRUE
"TRPS1","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.395757264204366,1,0.97,TRUE
"TIMP3","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.348511004800933,1,1,TRUE
"TIMP3","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.308622172188129,1,0.86,TRUE
"PRDM1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.318922002759696,1,0.98,TRUE
"PRDM1","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.320759389585077,0.99,0.9,TRUE
"PTCH1","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.410674222842897,1,1,TRUE
"PTCH1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.368977421116403,1,1,TRUE
"APCDD1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.312898700605433,1,1,TRUE
