"gene","left_out_donor","n_cells","rho","p_value","fdr","expected_sign","retained"
"LAMC3","K183156",501,-0.375361610912974,3.29198388060195e-18,3.01675244140409e-17,-1,TRUE
"SEMA3G","K183156",501,-0.450276640108568,2.20704787314933e-26,3.97980568093701e-25,-1,TRUE
"IGFBP3","K183156",501,-0.483155020704682,1.14874264798469e-30,2.9867308847602e-29,-1,TRUE
"ALX4","K183156",501,-0.406242198272,2.48963437507573e-21,3.0926791459274e-20,-1,TRUE
"COL23A1","K183156",501,-0.298263361143719,9.42055850790148e-12,4.09331449525585e-11,-1,TRUE
"TFAP2A","K183156",501,-0.436493028227948,1.01318613929599e-24,1.61820300533274e-23,-1,TRUE
"TCF4","K183156",501,-0.285472991805865,7.52822139736522e-11,2.77773977632155e-10,-1,TRUE
"BMP7","K183156",501,-0.403983220291205,4.32277753623488e-21,5.19662933925871e-20,-1,TRUE
"BMP4","K183156",501,-0.26230088417397,2.50528281154033e-09,7.40980471773039e-09,-1,TRUE
"SLC5A3","K183156",501,-0.340112471671687,4.94474697033191e-15,3.19550700163646e-14,-1,TRUE
"GADD45G","K183156",501,-0.347103286337473,1.24543708025969e-15,8.90707989525275e-15,-1,TRUE
"SERPINE2","K183156",501,-0.420491080727141,6.94829977958088e-23,9.83316348553345e-22,-1,TRUE
"INHBB","K183156",501,-0.278217902283761,2.33749326954772e-10,8.11589278060359e-10,-1,TRUE
"PRLR","K183156",501,-0.262821491048251,2.32393395478162e-09,6.90999511022833e-09,-1,TRUE
"TRPS1","K183156",501,-0.452739529167242,1.09343119462246e-26,2.03742679264652e-25,-1,TRUE
"TIMP3","K183156",501,-0.324650104737311,9.24431579642551e-14,5.30007438995063e-13,-1,TRUE
"PRDM1","K183156",501,-0.301215876789164,5.7444930172522e-12,2.57925429449315e-11,-1,TRUE
"PTCH1","K183156",501,-0.283386666096893,1.04629989314897e-10,3.82275581875995e-10,-1,TRUE
"APCDD1","K183156",501,-0.130837011026072,0.0033480268022852,0.00401619524136787,-1,FALSE
"DAAM2","K183156",501,-0.212709157740903,1.55317536991886e-06,3.20378240510938e-06,-1,TRUE
"INHBA","K183156",501,-0.444562246043874,1.10158220606703e-25,1.81113074468079e-24,-1,TRUE
"BCL2","K183156",501,-0.229152083576034,2.15478378473844e-07,4.91642504354608e-07,-1,TRUE
"CENPW","K183156",501,-0.341920474267591,3.47308517396594e-15,2.32509534400833e-14,-1,TRUE
"CEBPA","K183156",501,-0.273062941435541,5.12557906707462e-10,1.70547541577066e-09,-1,TRUE
"IGFBP2","K183156",501,-0.264148958888551,1.91731389295357e-09,5.79339711438402e-09,-1,TRUE
"MRPS6","K183156",501,-0.292129193356178,2.58589528136454e-11,1.03621180091955e-10,-1,TRUE
"CRABP1","K183156",501,-0.141181581196687,0.00153459822960504,0.00193425120710083,-1,FALSE
"ROBO2","K183156",501,-0.151066547885011,0.000692910826471403,0.000908176206324769,-1,FALSE
"DKK2","K183156",501,-0.221773168550005,5.32745728847194e-07,1.15204975793262e-06,-1,TRUE
"PHLDA1","K183156",501,-0.257952905515314,4.66267996304493e-09,1.32392156625346e-08,-1,TRUE
"DIO2","K183156",501,-0.238006889294572,6.98025954033924e-08,1.70020265056629e-07,-1,TRUE
"MYLIP","K183156",501,-0.202118607550861,5.11849661936011e-06,9.65466448670014e-06,-1,TRUE
"LUZP2","K183156",501,-0.271383811014194,6.59599518290808e-10,2.15623468259978e-09,-1,TRUE
"ZDHHC14","K183156",501,-0.154551179272482,0.000517438127694631,0.000693640080051076,-1,FALSE
"PGM2L1","K183156",501,-0.309299793250935,1.44031814788844e-12,6.91105446068359e-12,-1,TRUE
