"gene","dynamic_module","clean_module","expected_sign","retained_n","retained_fraction","retained_all_6","retained_at_least_5","retained_majority"
"LAMC3","D1_early_decreasing","clean_D1",-1,6,1,TRUE,TRUE,TRUE
"SEMA3G","D1_early_decreasing","clean_D1",-1,6,1,TRUE,TRUE,TRUE
"IGFBP3","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"ALX4","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"COL23A1","D1_early_decreasing","clean_D1",-1,6,1,TRUE,TRUE,TRUE
"TFAP2A","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"TCF4","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"BMP7","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"BMP4","D1_early_decreasing","clean_D1",-1,6,1,TRUE,TRUE,TRUE
"SLC5A3","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"GADD45G","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"SERPINE2","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"INHBB","D1_early_decreasing","clean_D1",-1,6,1,TRUE,TRUE,TRUE
"PRLR","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"TRPS1","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"TIMP3","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"PRDM1","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"PTCH1","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"APCDD1","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"DAAM2","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"INHBA","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"BCL2","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"CENPW","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"CEBPA","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"IGFBP2","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"MRPS6","D1_early_decreasing","none",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"CRABP1","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"ROBO2","D1_early_decreasing","clean_D1",-1,4,0.666666666666667,FALSE,FALSE,TRUE
"DKK2","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"PHLDA1","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"DIO2","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"MYLIP","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"LUZP2","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"ZDHHC14","D1_early_decreasing","clean_D1",-1,4,0.666666666666667,FALSE,FALSE,TRUE
"PGM2L1","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"PREX2","D1_early_decreasing","clean_D1",-1,4,0.666666666666667,FALSE,FALSE,TRUE
"TNN","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"F2R","D1_early_decreasing","clean_D1",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"PLEKHH2","D1_early_decreasing","clean_D1",-1,4,0.666666666666667,FALSE,FALSE,TRUE
"HIST1H2BD","D1_early_decreasing","none",-1,5,0.833333333333333,FALSE,TRUE,TRUE
"TWIST1","D1_early_decreasing","clean_D1",-1,4,0.666666666666667,FALSE,FALSE,TRUE
"HIST2H2BE","D1_early_decreasing","none",-1,4,0.666666666666667,FALSE,FALSE,TRUE
