"gene","donor","n_cells","detected_cells","rho","evaluable","expected_sign","concordant"
"LAMC3","K183156",569,18,NA,FALSE,-1,NA
"SEMA3G","K183156",569,23,NA,FALSE,-1,NA
"IGFBP3","K183156",569,214,-0.0557875283720682,TRUE,-1,TRUE
"ALX4","K183156",569,20,NA,FALSE,-1,NA
"COL23A1","K183156",569,45,NA,FALSE,-1,NA
"TFAP2A","K183156",569,64,-0.042980570047884,TRUE,-1,TRUE
"TCF4","K183156",569,374,0.057410845264228,TRUE,-1,FALSE
"BMP7","K183156",569,18,NA,FALSE,-1,NA
"BMP4","K183156",569,49,NA,FALSE,-1,NA
"SLC5A3","K183156",569,30,NA,FALSE,-1,NA
"GADD45G","K183156",569,60,-0.0835342888898802,TRUE,-1,TRUE
"SERPINE2","K183156",569,152,-0.0396605249979872,TRUE,-1,TRUE
"INHBB","K183156",569,36,NA,FALSE,-1,NA
"PRLR","K183156",569,14,NA,FALSE,-1,NA
"TRPS1","K183156",569,201,0.0902135175420787,TRUE,-1,FALSE
"TIMP3","K183156",569,282,-0.0890320987418203,TRUE,-1,TRUE
"PRDM1","K183156",569,27,NA,FALSE,-1,NA
"PTCH1","K183156",569,30,NA,FALSE,-1,NA
"APCDD1","K183156",569,119,-0.0564605564625481,TRUE,-1,TRUE
"DAAM2","K183156",569,64,0.00276710212175893,TRUE,-1,FALSE
"INHBA","K183156",569,140,0.0858359064585264,TRUE,-1,FALSE
"BCL2","K183156",569,62,-0.0777001371435556,TRUE,-1,TRUE
"CENPW","K183156",569,34,NA,FALSE,-1,NA
"CEBPA","K183156",569,53,NA,FALSE,-1,NA
"IGFBP2","K183156",569,40,NA,FALSE,-1,NA
"MRPS6","K183156",569,170,0.0317161003639909,TRUE,-1,FALSE
"CRABP1","K183156",569,20,NA,FALSE,-1,NA
"ROBO2","K183156",569,90,0.0824422859052108,TRUE,-1,FALSE
"DKK2","K183156",569,105,-0.00223252099921587,TRUE,-1,TRUE
"PHLDA1","K183156",569,54,NA,FALSE,-1,NA
"DIO2","K183156",569,146,-0.0238234486477039,TRUE,-1,TRUE
"MYLIP","K183156",569,143,-0.0268427299577454,TRUE,-1,TRUE
"LUZP2","K183156",569,71,-0.024998465678189,TRUE,-1,TRUE
"ZDHHC14","K183156",569,43,NA,FALSE,-1,NA
"PGM2L1","K183156",569,52,NA,FALSE,-1,NA
"PREX2","K183156",569,29,NA,FALSE,-1,NA
"TNN","K183156",569,56,NA,FALSE,-1,NA
"F2R","K183156",569,182,0.0363997101032098,TRUE,-1,FALSE
"PLEKHH2","K183156",569,74,0.062072918197925,TRUE,-1,FALSE
"HIST1H2BD","K183156",569,60,-0.018303694325675,TRUE,-1,TRUE
"TWIST1","K183156",569,217,0.000815586454010533,TRUE,-1,FALSE
"HIST2H2BE","K183156",569,39,NA,FALSE,-1,NA
"ITGA8","K183156",569,62,0.153006365949958,TRUE,-1,FALSE
"CPE","K183156",569,156,-0.0367843417509539,TRUE,-1,TRUE
"SOX18","K183156",569,67,0.0544575682045517,TRUE,-1,FALSE
"PTMA","K183156",569,547,-0.253570996881812,TRUE,1,FALSE
"RPL35A","K183156",569,540,-0.326846092132433,TRUE,1,FALSE
"RPL34","K183156",569,554,-0.266283817578805,TRUE,1,FALSE
"SLC35F1","K183156",569,399,-0.113956658556616,TRUE,1,FALSE
"H3F3B","K183156",569,507,-0.135008190021454,TRUE,1,FALSE
"RPL13","K183156",569,566,-0.291631828455611,TRUE,1,FALSE
"RPL11","K183156",569,560,-0.353867576084674,TRUE,1,FALSE
"RPS27A","K183156",569,539,-0.244232080260656,TRUE,1,FALSE
"RPS13","K183156",569,553,-0.303200070852458,TRUE,1,FALSE
"RPL26","K183156",569,540,-0.309719903389385,TRUE,1,FALSE
"RPL37A","K183156",569,562,-0.293183006390463,TRUE,1,FALSE
"RPL5","K183156",569,544,-0.303707124680683,TRUE,1,FALSE
"RPL13A","K183156",569,561,-0.286605058529233,TRUE,1,FALSE
"FAU","K183156",569,545,-0.271280046823459,TRUE,1,FALSE
"RPL19","K183156",569,553,-0.277683876057627,TRUE,1,FALSE
"RPL6","K183156",569,518,-0.237178185926429,TRUE,1,FALSE
"RPS14","K183156",569,565,-0.325322244555743,TRUE,1,FALSE
"RPL4","K183156",569,523,-0.209300968381515,TRUE,1,FALSE
"RPL30","K183156",569,554,-0.345230689032664,TRUE,1,FALSE
"RPS27","K183156",569,555,-0.314703108443298,TRUE,1,FALSE
"RPL24","K183156",569,547,-0.270290814631152,TRUE,1,FALSE
"GNB2L1","K183156",569,529,-0.209919389204184,TRUE,1,FALSE
"RPL12","K183156",569,560,-0.333535179974558,TRUE,1,FALSE
"RPS23","K183156",569,549,-0.288445587724455,TRUE,1,FALSE
"RPL38","K183156",569,540,-0.229571741471889,TRUE,1,FALSE
"RPS9","K183156",569,543,-0.294372715033439,TRUE,1,FALSE
"RPL37","K183156",569,561,-0.346752033672925,TRUE,1,FALSE
"RPL3","K183156",569,556,-0.24027118345529,TRUE,1,FALSE
"RPS6","K183156",569,555,-0.204673428018581,TRUE,1,FALSE
"RPL18","K183156",569,557,-0.321807720039631,TRUE,1,FALSE
"RPL9","K183156",569,541,-0.249395769255919,TRUE,1,FALSE
"RPS21","K183156",569,553,-0.271123029799675,TRUE,1,FALSE
"EEF1A1","K183156",569,569,-0.311251776685457,TRUE,1,FALSE
"RPL32","K183156",569,560,-0.356711928050771,TRUE,1,FALSE
"RPS4X","K183156",569,559,-0.252426269346464,TRUE,1,FALSE
"RPL23","K183156",569,559,-0.26871426945127,TRUE,1,FALSE
"RPL14","K183156",569,535,-0.266480919873865,TRUE,1,FALSE
"RPS3A","K183156",569,536,-0.263571552856126,TRUE,1,FALSE
"RPL21","K183156",569,530,-0.232921247285324,TRUE,1,FALSE
"RPL7","K183156",569,495,-0.244631430659925,TRUE,1,FALSE
"RPL22","K183156",569,457,-0.221298955381909,TRUE,1,FALSE
"RPS8","K183156",569,568,-0.306024530702593,TRUE,1,FALSE
"HSP90AB1","K183156",569,441,-0.172564673723757,TRUE,1,FALSE
"VIM","K183156",569,546,-0.123680250483173,TRUE,1,FALSE
"RPS16","K183156",569,550,-0.263538721443765,TRUE,1,FALSE
"NACA","K183156",569,533,-0.261477792849364,TRUE,1,FALSE
"RPS20","K183156",569,550,-0.248479395147354,TRUE,1,FALSE
"GLTSCR2","K183156",569,445,-0.192500742018069,TRUE,1,FALSE
"RPL36A","K183156",569,528,-0.248551343893753,TRUE,1,FALSE
"RPS3","K183156",569,557,-0.267110433006557,TRUE,1,FALSE
"JUNB","K183156",569,460,-0.110768980887535,TRUE,1,FALSE
"RPL23A","K183156",569,548,-0.238090252531335,TRUE,1,FALSE
"RPS5","K183156",569,538,-0.129361653510982,TRUE,1,FALSE
"BTF3","K183156",569,481,-0.230883555486152,TRUE,1,FALSE
"RPS17","K183156",569,547,-0.205500712393163,TRUE,1,FALSE
"RPL17-C18orf32","K183156",569,507,-0.190436143509063,TRUE,1,FALSE
"RPL10A","K183156",569,531,-0.167125361052276,TRUE,1,FALSE
"HNRNPA1","K183156",569,460,-0.165710421611397,TRUE,1,FALSE
"RPS25","K183156",569,524,-0.291228710406284,TRUE,1,FALSE
"LMO4","K183156",569,324,0.0260306652733559,TRUE,1,TRUE
"PFDN5","K183156",569,526,-0.263962596159527,TRUE,1,FALSE
"CIRBP","K183156",569,432,-0.125251568217176,TRUE,1,FALSE
"RPS15","K183156",569,557,-0.215721190837473,TRUE,1,FALSE
"RPL31","K183156",569,549,-0.233121699659797,TRUE,1,FALSE
"RPS7","K183156",569,534,-0.210526802389954,TRUE,1,FALSE
"ADIRF","K183156",569,347,-0.0344484352486118,TRUE,1,FALSE
"RPS10","K183156",569,538,-0.261324725496721,TRUE,1,FALSE
"NUCKS1","K183156",569,451,-0.0297289239671616,TRUE,1,FALSE
"RPS15A","K183156",569,539,-0.243203591156239,TRUE,1,FALSE
"FGFR1","K183156",569,326,0.0766630412821665,TRUE,1,TRUE
"CD81","K183156",569,508,-0.177267277914625,TRUE,1,FALSE
"EIF1","K183156",569,490,-0.0372162338631285,TRUE,1,FALSE
"ZFP36L2","K183156",569,441,-0.20800461017433,TRUE,1,FALSE
"RPS24","K183156",569,551,-0.259269217380215,TRUE,1,FALSE
"RPL7A","K183156",569,559,-0.243349136053883,TRUE,1,FALSE
"RPS18","K183156",569,565,-0.244114781006945,TRUE,1,FALSE
"HMGB1","K183156",569,471,-0.0648604312599434,TRUE,1,FALSE
"HIST1H4C","K183156",569,257,-0.142050626392847,TRUE,1,FALSE
"RPL35","K183156",569,553,-0.256317103106301,TRUE,1,FALSE
"SNHG8","K183156",569,256,-0.14309275096614,TRUE,1,FALSE
"RPS2","K183156",569,557,-0.209233039713248,TRUE,1,FALSE
"TMEM258","K183156",569,431,-0.0131708822167737,TRUE,1,FALSE
"POLDIP2","K183156",569,139,0.1348254354676,TRUE,1,TRUE
"PLXNA3","K183156",569,103,0.157027904106792,TRUE,1,TRUE
