"gene","dynamic_module","clean_module","expected_sign","n_evaluable_donors","n_concordant_donors","concordant_fraction","median_within_donor_rho","majority_concordant","two_thirds_concordant"
"LAMC3","D1_early_decreasing","clean_D1",-1,2,2,1,-0.214446164735955,NA,NA
"SEMA3G","D1_early_decreasing","clean_D1",-1,2,2,1,-0.356362596965365,NA,NA
"IGFBP3","D1_early_decreasing","clean_D1",-1,5,4,0.8,-0.121555482218985,TRUE,TRUE
"ALX4","D1_early_decreasing","clean_D1",-1,2,2,1,-0.175832159302279,NA,NA
"COL23A1","D1_early_decreasing","clean_D1",-1,3,3,1,-0.200954610484874,TRUE,TRUE
"TFAP2A","D1_early_decreasing","clean_D1",-1,4,4,1,-0.134057572200617,TRUE,TRUE
"TCF4","D1_early_decreasing","clean_D1",-1,5,3,0.6,-0.0275079393610568,TRUE,FALSE
"BMP7","D1_early_decreasing","clean_D1",-1,2,2,1,-0.364590586499248,NA,NA
"BMP4","D1_early_decreasing","clean_D1",-1,4,4,1,-0.181748554870316,TRUE,TRUE
"SLC5A3","D1_early_decreasing","clean_D1",-1,3,2,0.666666666666667,-0.0751603117688647,TRUE,TRUE
"GADD45G","D1_early_decreasing","clean_D1",-1,4,4,1,-0.114621134574541,TRUE,TRUE
"SERPINE2","D1_early_decreasing","clean_D1",-1,5,4,0.8,-0.0396605249979872,TRUE,TRUE
"INHBB","D1_early_decreasing","clean_D1",-1,3,3,1,-0.146781085097624,TRUE,TRUE
"PRLR","D1_early_decreasing","clean_D1",-1,1,1,1,-0.01411032295739,NA,NA
"TRPS1","D1_early_decreasing","clean_D1",-1,5,3,0.6,-0.139626447807861,TRUE,FALSE
"TIMP3","D1_early_decreasing","clean_D1",-1,5,3,0.6,-0.0629501923955917,TRUE,FALSE
"PRDM1","D1_early_decreasing","clean_D1",-1,2,2,1,-0.265872926810983,NA,NA
"PTCH1","D1_early_decreasing","clean_D1",-1,3,3,1,-0.32467877421237,TRUE,TRUE
"APCDD1","D1_early_decreasing","clean_D1",-1,5,5,1,-0.100524721128338,TRUE,TRUE
"DAAM2","D1_early_decreasing","clean_D1",-1,5,3,0.6,-0.127628217358687,TRUE,FALSE
"INHBA","D1_early_decreasing","clean_D1",-1,5,3,0.6,-0.0874415554720071,TRUE,FALSE
"BCL2","D1_early_decreasing","clean_D1",-1,5,4,0.8,-0.0777001371435556,TRUE,TRUE
"CENPW","D1_early_decreasing","clean_D1",-1,2,2,1,-0.392923242753238,NA,NA
"CEBPA","D1_early_decreasing","clean_D1",-1,2,2,1,-0.09301331531103,NA,NA
"IGFBP2","D1_early_decreasing","clean_D1",-1,2,2,1,-0.122027044449346,NA,NA
"MRPS6","D1_early_decreasing","none",-1,5,2,0.4,0.00369025968228395,FALSE,FALSE
"CRABP1","D1_early_decreasing","clean_D1",-1,4,4,1,-0.216576861930198,TRUE,TRUE
"ROBO2","D1_early_decreasing","clean_D1",-1,5,3,0.6,-0.0437656852362139,TRUE,FALSE
"DKK2","D1_early_decreasing","clean_D1",-1,4,2,0.5,0.0138176628143905,FALSE,FALSE
"PHLDA1","D1_early_decreasing","clean_D1",-1,3,2,0.666666666666667,-0.168959628883251,TRUE,TRUE
"DIO2","D1_early_decreasing","clean_D1",-1,4,3,0.75,-0.0590382869918607,TRUE,TRUE
"MYLIP","D1_early_decreasing","clean_D1",-1,5,5,1,-0.0268427299577454,TRUE,TRUE
"LUZP2","D1_early_decreasing","clean_D1",-1,3,2,0.666666666666667,-0.024998465678189,TRUE,TRUE
"ZDHHC14","D1_early_decreasing","clean_D1",-1,4,2,0.5,0.013355965547072,FALSE,FALSE
"PGM2L1","D1_early_decreasing","clean_D1",-1,2,2,1,-0.343513309927019,NA,NA
"PREX2","D1_early_decreasing","clean_D1",-1,3,2,0.666666666666667,-0.034625573871536,TRUE,TRUE
"TNN","D1_early_decreasing","clean_D1",-1,2,2,1,-0.162484666269595,NA,NA
"F2R","D1_early_decreasing","clean_D1",-1,5,2,0.4,0.0193394077552869,FALSE,FALSE
"PLEKHH2","D1_early_decreasing","clean_D1",-1,5,2,0.4,0.0180729395801808,FALSE,FALSE
"HIST1H2BD","D1_early_decreasing","none",-1,2,1,0.5,0.0326895021282749,NA,NA
"TWIST1","D1_early_decreasing","clean_D1",-1,5,3,0.6,-0.0149482056889123,TRUE,FALSE
"HIST2H2BE","D1_early_decreasing","none",-1,2,0,0,0.0336946555490187,NA,NA
"ITGA8","D1_early_decreasing","clean_D1",-1,4,3,0.75,-0.0307023207483238,TRUE,TRUE
"CPE","D1_early_decreasing","clean_D1",-1,5,3,0.6,-0.0367843417509539,TRUE,FALSE
"SOX18","D1_early_decreasing","clean_D1",-1,4,3,0.75,-0.186366304470615,TRUE,TRUE
"PTMA","D2_late_increasing","none",1,5,0,0,-0.257752762773452,FALSE,FALSE
"RPL35A","D2_late_increasing","none",1,5,0,0,-0.326846092132433,FALSE,FALSE
"RPL34","D2_late_increasing","none",1,5,0,0,-0.266283817578805,FALSE,FALSE
"SLC35F1","D2_late_increasing","none",1,5,0,0,-0.146362184513187,FALSE,FALSE
"H3F3B","D2_late_increasing","none",1,5,0,0,-0.344361381157124,FALSE,FALSE
"RPL13","D2_late_increasing","none",1,5,0,0,-0.171958461400734,FALSE,FALSE
"RPL11","D2_late_increasing","none",1,5,0,0,-0.353867576084674,FALSE,FALSE
"RPS27A","D2_late_increasing","none",1,5,0,0,-0.244232080260656,FALSE,FALSE
"RPS13","D2_late_increasing","none",1,5,1,0.2,-0.303200070852458,FALSE,FALSE
"RPL26","D2_late_increasing","none",1,5,0,0,-0.315859314953251,FALSE,FALSE
"RPL37A","D2_late_increasing","none",1,5,0,0,-0.299626613750606,FALSE,FALSE
"RPL5","D2_late_increasing","none",1,5,1,0.2,-0.232210799625974,FALSE,FALSE
"RPL13A","D2_late_increasing","none",1,5,0,0,-0.315985795708872,FALSE,FALSE
"FAU","D2_late_increasing","none",1,5,0,0,-0.257968495303693,FALSE,FALSE
"RPL19","D2_late_increasing","none",1,5,0,0,-0.277683876057627,FALSE,FALSE
"RPL6","D2_late_increasing","none",1,5,0,0,-0.346098672617228,FALSE,FALSE
"RPS14","D2_late_increasing","none",1,5,0,0,-0.325322244555743,FALSE,FALSE
"RPL4","D2_late_increasing","none",1,5,0,0,-0.194972609086082,FALSE,FALSE
"RPL30","D2_late_increasing","none",1,5,0,0,-0.333824140382137,FALSE,FALSE
"RPS27","D2_late_increasing","none",1,5,0,0,-0.314703108443298,FALSE,FALSE
"RPL24","D2_late_increasing","none",1,5,0,0,-0.23664931063068,FALSE,FALSE
"GNB2L1","D2_late_increasing","none",1,5,0,0,-0.209919389204184,FALSE,FALSE
"RPL12","D2_late_increasing","none",1,5,1,0.2,-0.181382178175811,FALSE,FALSE
"RPS23","D2_late_increasing","none",1,5,1,0.2,-0.269875608279005,FALSE,FALSE
"RPL38","D2_late_increasing","none",1,5,1,0.2,-0.229571741471889,FALSE,FALSE
"RPS9","D2_late_increasing","none",1,5,0,0,-0.294372715033439,FALSE,FALSE
"RPL37","D2_late_increasing","none",1,5,0,0,-0.267210766613948,FALSE,FALSE
"RPL3","D2_late_increasing","none",1,5,0,0,-0.255457379046588,FALSE,FALSE
"RPS6","D2_late_increasing","none",1,5,0,0,-0.286866008229157,FALSE,FALSE
"RPL18","D2_late_increasing","none",1,5,0,0,-0.267074414053748,FALSE,FALSE
"RPL9","D2_late_increasing","none",1,5,0,0,-0.293760972299051,FALSE,FALSE
"RPS21","D2_late_increasing","none",1,5,1,0.2,-0.271123029799675,FALSE,FALSE
"EEF1A1","D2_late_increasing","none",1,5,0,0,-0.311251776685457,FALSE,FALSE
"RPL32","D2_late_increasing","none",1,5,0,0,-0.289188624630718,FALSE,FALSE
"RPS4X","D2_late_increasing","none",1,5,0,0,-0.252426269346464,FALSE,FALSE
"RPL23","D2_late_increasing","none",1,5,0,0,-0.26871426945127,FALSE,FALSE
"RPL14","D2_late_increasing","none",1,5,0,0,-0.155321478571829,FALSE,FALSE
"RPS3A","D2_late_increasing","none",1,5,0,0,-0.263571552856126,FALSE,FALSE
"RPL21","D2_late_increasing","none",1,5,0,0,-0.232921247285324,FALSE,FALSE
"RPL7","D2_late_increasing","none",1,5,0,0,-0.244631430659925,FALSE,FALSE
"RPL22","D2_late_increasing","none",1,5,1,0.2,-0.221298955381909,FALSE,FALSE
"RPS8","D2_late_increasing","none",1,5,1,0.2,-0.306024530702593,FALSE,FALSE
"HSP90AB1","D2_late_increasing","none",1,5,0,0,-0.235739318848203,FALSE,FALSE
"VIM","D2_late_increasing","none",1,5,0,0,-0.300615542087384,FALSE,FALSE
"RPS16","D2_late_increasing","none",1,5,0,0,-0.263538721443765,FALSE,FALSE
"NACA","D2_late_increasing","none",1,5,0,0,-0.261477792849364,FALSE,FALSE
"RPS20","D2_late_increasing","none",1,5,1,0.2,-0.242257177708922,FALSE,FALSE
"GLTSCR2","D2_late_increasing","none",1,5,1,0.2,-0.0315433174263033,FALSE,FALSE
"RPL36A","D2_late_increasing","none",1,5,0,0,-0.120104582079907,FALSE,FALSE
"RPS3","D2_late_increasing","none",1,5,1,0.2,-0.217051371982204,FALSE,FALSE
"JUNB","D2_late_increasing","none",1,5,1,0.2,-0.110768980887535,FALSE,FALSE
"RPL23A","D2_late_increasing","none",1,5,0,0,-0.238090252531335,FALSE,FALSE
"RPS5","D2_late_increasing","none",1,5,0,0,-0.167956150304113,FALSE,FALSE
"BTF3","D2_late_increasing","none",1,5,0,0,-0.238945327111437,FALSE,FALSE
"RPS17","D2_late_increasing","none",1,5,0,0,-0.111669289321692,FALSE,FALSE
"RPL17-C18orf32","D2_late_increasing","none",1,5,1,0.2,-0.190436143509063,FALSE,FALSE
