"gene","dynamic_module","clean_module","expected_sign","waldStat","df","pvalue","meanLogFC","tradeSeq_fdr","supported"
"LAMC3","D1_early_decreasing","clean_D1",-1,91.9922873756104,5,0,2.19606124963641,0,TRUE
"SEMA3G","D1_early_decreasing","clean_D1",-1,130.573753315986,5,0,3.33661707717269,0,TRUE
"IGFBP3","D1_early_decreasing","clean_D1",-1,254.482998125624,5,0,3.79045274910219,0,TRUE
"ALX4","D1_early_decreasing","clean_D1",-1,87.4983845981315,5,0,2.66218355378868,0,TRUE
"COL23A1","D1_early_decreasing","clean_D1",-1,46.2981996205729,5,7.89704257542212e-09,1.67604161285246,2.01033355438524e-08,TRUE
"TFAP2A","D1_early_decreasing","clean_D1",-1,208.560942469511,5,0,3.29590262023467,0,TRUE
"TCF4","D1_early_decreasing","clean_D1",-1,114.204986398059,5,0,0.530571669632004,0,TRUE
"BMP7","D1_early_decreasing","clean_D1",-1,49.7251406838367,5,1.57737400918734e-09,2.43067863592775,4.24614256781239e-09,TRUE
"BMP4","D1_early_decreasing","clean_D1",-1,150.103689780783,5,0,2.89252965945661,0,TRUE
"SLC5A3","D1_early_decreasing","clean_D1",-1,103.038044380029,5,0,2.98780557977586,0,TRUE
"GADD45G","D1_early_decreasing","clean_D1",-1,172.465339123629,5,0,2.86034231069826,0,TRUE
"SERPINE2","D1_early_decreasing","clean_D1",-1,85.1727677335211,5,1.11022302462516e-16,2.06393894137381,4.72991710077908e-16,TRUE
"INHBB","D1_early_decreasing","clean_D1",-1,94.9063290143195,5,0,2.58602253334191,0,TRUE
"PRLR","D1_early_decreasing","clean_D1",-1,108.544217965724,5,0,4.1990477866285,0,TRUE
"TRPS1","D1_early_decreasing","clean_D1",-1,137.325830809372,5,0,1.23911616158875,0,TRUE
"TIMP3","D1_early_decreasing","clean_D1",-1,30.4426544743699,5,1.20659604953e-05,0.642260945973992,2.33597953753083e-05,TRUE
"PRDM1","D1_early_decreasing","clean_D1",-1,105.184860419419,5,0,3.12957340822912,0,TRUE
"PTCH1","D1_early_decreasing","clean_D1",-1,33.0599779324875,5,3.66162368670153e-06,1.20947289086132,7.37330863474469e-06,TRUE
"APCDD1","D1_early_decreasing","clean_D1",-1,50.9505687706933,5,8.85276296713755e-10,0.796662325416881,2.43391963176502e-09,TRUE
"DAAM2","D1_early_decreasing","clean_D1",-1,53.5006497400263,5,2.65433897084222e-10,1.03296943938884,7.68714460375935e-10,TRUE
"INHBA","D1_early_decreasing","clean_D1",-1,104.022970908379,5,0,2.56868635671457,0,TRUE
"BCL2","D1_early_decreasing","clean_D1",-1,53.914488124321,5,2.18237317106684e-10,0.924445737771773,6.37401342597709e-10,TRUE
"CENPW","D1_early_decreasing","clean_D1",-1,67.0212633113724,5,4.26547686060985e-13,3.15527921772536,1.48571170381377e-12,TRUE
"CEBPA","D1_early_decreasing","clean_D1",-1,51.0801549110292,5,8.32780955306589e-10,1.98422173751648,2.29571434470881e-09,TRUE
"IGFBP2","D1_early_decreasing","clean_D1",-1,62.5154263027846,5,3.66784380645413e-12,2.6510467791624,1.19291702348713e-11,TRUE
"MRPS6","D1_early_decreasing","none",-1,79.5404639066039,5,9.99200722162641e-16,1.88421453319951,4.08799977995906e-15,TRUE
"CRABP1","D1_early_decreasing","clean_D1",-1,13.074013314957,5,0.0226949678050995,1.1037318697166,0.0289227587231861,TRUE
"ROBO2","D1_early_decreasing","clean_D1",-1,110.861006087274,5,0,0.82919630974169,0,TRUE
"DKK2","D1_early_decreasing","clean_D1",-1,117.438734999261,5,0,2.1587736345677,0,TRUE
"PHLDA1","D1_early_decreasing","clean_D1",-1,20.6821626646031,5,0.000930042509341922,1.15935125104474,0.00141426818160991,TRUE
"DIO2","D1_early_decreasing","clean_D1",-1,22.5413327302385,5,0.000412983011964796,1.27422402751257,0.000650054176085045,TRUE
"MYLIP","D1_early_decreasing","clean_D1",-1,45.8835966954448,5,9.59141877032721e-09,1.17399857464019,2.42966898088633e-08,TRUE
"LUZP2","D1_early_decreasing","clean_D1",-1,128.685881186828,5,0,3.61383363089043,0,TRUE
"ZDHHC14","D1_early_decreasing","clean_D1",-1,26.6237657116744,5,6.75164280240503e-05,1.25118162717031,0.000116209411173282,TRUE
"PGM2L1","D1_early_decreasing","clean_D1",-1,79.1884376440655,5,1.22124532708767e-15,3.35867491522376,4.95710209538343e-15,TRUE
"PREX2","D1_early_decreasing","clean_D1",-1,38.2176903610066,5,3.41173176154896e-07,0.713521927332906,7.51601591059184e-07,TRUE
"TNN","D1_early_decreasing","clean_D1",-1,50.26912663234,5,1.22073118280497e-09,1.90374569668992,3.31203644597874e-09,TRUE
"F2R","D1_early_decreasing","clean_D1",-1,12.0469438434034,5,0.0341501725294471,0.753848845814103,0.0426256996099999,TRUE
"PLEKHH2","D1_early_decreasing","clean_D1",-1,105.730272806642,5,0,1.13800265662317,0,TRUE
"HIST1H2BD","D1_early_decreasing","none",-1,35.7615911373641,5,1.06001639599285e-06,1.47301732748242,2.23950185300948e-06,TRUE
"TWIST1","D1_early_decreasing","clean_D1",-1,43.9705580859918,5,2.34831892820253e-08,0.812269436394315,5.76456384518288e-08,TRUE
"HIST2H2BE","D1_early_decreasing","none",-1,13.47104513571,5,0.0193425793516269,1.33937727061045,0.0248346193169705,TRUE
"ITGA8","D1_early_decreasing","clean_D1",-1,71.5811324045608,5,4.80726569662693e-14,1.20986808537207,1.77644836316214e-13,TRUE
"CPE","D1_early_decreasing","clean_D1",-1,77.4569849789505,5,2.88657986402541e-15,1.84973941643352,1.1535131162055e-14,TRUE
