"cell","ordering_set","pseudotime","program","sample","condition"
"K183156_CELL11_N5","program_DE_top500",10.4632225472363,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL43_N2","program_DE_top500",17.648391754656,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL63_N3","program_DE_top500",17.4674825331083,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL134_N2","program_DE_top500",13.5004345369208,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL147_N3","program_DE_top500",17.5588478712749,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL197_N3","program_DE_top500",17.3917646006557,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL217_N3","program_DE_top500",0.150589645486992,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL243_N4","program_DE_top500",17.6244948654257,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL256_N5","program_DE_top500",14.9439967721514,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL258_N5","program_DE_top500",16.4946569622156,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL273_N2","program_DE_top500",17.5156581649282,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL281_N1","program_DE_top500",17.3155819823422,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL353_N3","program_DE_top500",17.5767757028156,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL373_N3","program_DE_top500",16.5504268414507,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL433_N4","program_DE_top500",17.7427786354159,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL466_N2","program_DE_top500",15.8797458455861,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL470_N2","program_DE_top500",17.2752912679601,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL473_N1","program_DE_top500",17.4267277865642,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL484_N2","program_DE_top500",17.4067418036206,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL499_N3","program_DE_top500",17.3183105352336,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL545_N2","program_DE_top500",17.7321960264307,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL561_N7","program_DE_top500",15.3075743264499,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL638_N2","program_DE_top500",13.5694463263293,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL644_N4","program_DE_top500",17.7400527973374,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL654_N3","program_DE_top500",17.4076929018593,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL673_N2","program_DE_top500",17.3969683855813,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL691_N4","program_DE_top500",17.2859532726634,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL708_N3","program_DE_top500",16.6846840243106,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL755_N3","program_DE_top500",17.6046867736806,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL762_N2","program_DE_top500",15.6396864263221,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL765_N2","program_DE_top500",10.1459437355545,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL793_N2","program_DE_top500",17.7150257087383,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL820_N3","program_DE_top500",15.5835955314289,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL890_N3","program_DE_top500",15.6299517320824,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL928_N4","program_DE_top500",17.3411556177979,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL962_N3","program_DE_top500",17.4118222828127,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL1019_N5","program_DE_top500",17.6690980907725,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL1056_N3","program_DE_top500",16.6039691086156,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL1080_N2","program_DE_top500",14.8379683739627,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL1105_N3","program_DE_top500",17.6725492868491,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL1129_N3","program_DE_top500",17.1356930031058,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL1265_N5","program_DE_top500",17.3116392759289,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL1278_N2","program_DE_top500",17.2927963500914,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL1314_N3","program_DE_top500",16.3910537689435,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL1374_N4","program_DE_top500",10.613543860332,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL1393_N6","program_DE_top500",17.676322459898,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL1402_N2","program_DE_top500",17.5175129323526,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL1420_N2","program_DE_top500",14.7698308138758,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL1441_N5","program_DE_top500",17.281970327782,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL1444_N2","program_DE_top500",14.257058359614,"ECM-producing fibroblasts","K183156","Keloid"
