"program","database","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ECM-producing fibroblasts","GO_BP","GO:0030199","collagen fibril organization","26/267","35/1017",0.742857142857143,2.82953451043339,6.56887106016926,1.97738099297553e-09,8.22656950313766e-07,8.22572439446699e-07,"COL1A1/COMP/COL1A2/COL5A1/COL3A1/COL12A1/COL5A2/AEBP1/SFRP2/COL11A1/SERPINH1/COL14A1/P3H4/P4HA3/DPT/SCX/ADAMTS2/BMP1/P3H1/FKBP10/LOX/COL6A1/PLOD1/ADAMTS14/EFEMP2/EMILIN1",26
"ECM-producing fibroblasts","GO_BP","GO:0030198","extracellular matrix organization","44/267","77/1017",0.571428571428571,2.17656500802568,6.40426385832839,2.14094196568319e-09,8.22656950313766e-07,8.22572439446699e-07,"COL1A1/COMP/COL1A2/COL5A1/COL3A1/COL12A1/COL5A2/POSTN/AEBP1/CREB3L1/SFRP2/COL11A1/ZNF469/SERPINH1/MMP2/COL14A1/P3H4/P4HA3/DPT/SCX/ADAMTS2/BMP1/ELN/P3H1/SULF1/FKBP10/LOX/COL6A1/HMCN1/DPP4/FAP/ADAMTS6/PLOD1/SULF2/ADAMTS14/PRDX4/FBLN1/ADAMTS16/EFEMP2/OLFML2B/ADAMTS4/QSOX1/EMILIN1/FSCN1",44
"ECM-producing fibroblasts","GO_BP","GO:0043062","extracellular structure organization","44/267","77/1017",0.571428571428571,2.17656500802568,6.40426385832839,2.14094196568319e-09,8.22656950313766e-07,8.22572439446699e-07,"COL1A1/COMP/COL1A2/COL5A1/COL3A1/COL12A1/COL5A2/POSTN/AEBP1/CREB3L1/SFRP2/COL11A1/ZNF469/SERPINH1/MMP2/COL14A1/P3H4/P4HA3/DPT/SCX/ADAMTS2/BMP1/ELN/P3H1/SULF1/FKBP10/LOX/COL6A1/HMCN1/DPP4/FAP/ADAMTS6/PLOD1/SULF2/ADAMTS14/PRDX4/FBLN1/ADAMTS16/EFEMP2/OLFML2B/ADAMTS4/QSOX1/EMILIN1/FSCN1",44
"ECM-producing fibroblasts","GO_BP","GO:0045229","external encapsulating structure organization","44/267","77/1017",0.571428571428571,2.17656500802568,6.40426385832839,2.14094196568319e-09,8.22656950313766e-07,8.22572439446699e-07,"COL1A1/COMP/COL1A2/COL5A1/COL3A1/COL12A1/COL5A2/POSTN/AEBP1/CREB3L1/SFRP2/COL11A1/ZNF469/SERPINH1/MMP2/COL14A1/P3H4/P4HA3/DPT/SCX/ADAMTS2/BMP1/ELN/P3H1/SULF1/FKBP10/LOX/COL6A1/HMCN1/DPP4/FAP/ADAMTS6/PLOD1/SULF2/ADAMTS14/PRDX4/FBLN1/ADAMTS16/EFEMP2/OLFML2B/ADAMTS4/QSOX1/EMILIN1/FSCN1",44
"ECM-producing fibroblasts","GO_BP","GO:0032963","collagen metabolic process","19/267","30/1017",0.633333333333333,2.4123595505618,4.68294627122437,1.59815959764413e-05,0.00491274260315805,0.00491223792117985,"COL1A1/COL1A2/COL5A1/RCN3/CREB3L1/SERPINH1/MMP2/MRC2/P3H4/SCX/ADAMTS2/P3H3/P3H1/TGFB3/COL6A1/FAP/ADAMTS14/PCOLCE/EMILIN1",19
"ECM-producing fibroblasts","GO_BP","GO:0060348","bone development","23/267","41/1017",0.560975609756098,2.13674979446424,4.43102047501321,3.37909103633244e-05,0.00865610487140493,0.00865521563692168,"COL1A1/COMP/COL3A1/OGN/SERPINH1/SFRP4/FOXP1/SCX/BGN/P3H1/SULF1/LOX/COL6A1/DCHS1/FBN1/SULF2/PPIB/VKORC1/THBS3/ECM1/LRRC17/DHRS3/INPPL1",23
"ECM-producing fibroblasts","GO_BP","GO:0048856","anatomical structure development","155/267","492/1017",0.315040650406504,1.19998629761579,3.68192546765357,0.000149728091498625,0.0328760109476267,0.0328726336222546,"COL1A1/ASPN/SPARC/COMP/COL1A2/COL5A1/CTHRC1/FN1/COL3A1/HMCN2/COL8A1/NBL1/IGF2/COL12A1/RCN3/LRRC15/OGN/COL5A2/POSTN/ADAM12/CREB3L1/ACAN/SFRP2/COL11A1/SERPINH1/MDK/SFRP4/MMP2/LGALS1/NREP/COL14A1/HTRA1/FOXP1/PDLIM7/PLPP4/TAGLN/THBS2/SEMA3B/SCX/BGN/ADAMTS2/CRABP2/MFAP2/BMP1/ELN/CSRP2/P3H1/ITGA11/TGFB3/UCHL1/SULF1/CDKN2A/TNFRSF9/B4GALT2/BASP1/FLNC/EPHB3/MARCKS/ENAH/TNFRSF12A/FKBP10/ACTB/METRN/LOX/MYL9/HSPG2/COL10A1/COL6A1/FAM114A1/GRIN2D/DCHS1/GLIPR2/PALLD/THBS1/FBN1/RCN1/FAP/ADAMTS6/GMPPA/OPCML/ACTA2/EHD2/PLOD1/SULF2/PPIB/FLNA/MAGED1/RYR2/PRDX4/YIF1B/LRRN1/CAPZB/FBLN1/VKORC1/DBN1/TENM3/PDLIM2/IFT20/MICAL2/RBP4/ADAMTS16/PTN/DAPK3/EVL/LRRC32/B4GALNT1/THBS3/SYNDIG1/TNFAIP6/SEC24D/SMTN/EFEMP2/SRA1/ECM1/NCS1/IDH2/TUBB2B/MYL6/TUBA1A/RAC3/RAD51B/SDC1/KRT16/PTPRD/ADAMTS4/SEMA3C/VAT1/MYDGF/ITGB5/TGFB1I1/S100A9/C1QTNF5/SDF4/EMILIN1/TANC2/PLXNA3/PLEKHO1/TUBB2A/SRPX2/CAMK1D/S100A8/LRRC17/DHRS3/ACTN1/HM13/EYA4/FHL3/CAPG/XBP1/SH3PXD2A/SEC61A1/FST/INPPL1/TPM4/HLA-DRA",155
"ECM-producing fibroblasts","GO_BP","GO:0033627","cell adhesion mediated by integrin","9/267","11/1017",0.818181818181818,3.11644535240041,4.20897420789075,0.00017464721730388,0.033554096624508,0.0335506496399559,"COL16A1/SFRP2/ITGA11/FBN1/DPP4/ITGBL1/RAC3/ITGB5/EMILIN1",9
"ECM-producing fibroblasts","GO_BP","GO:0032964","collagen biosynthetic process","11/267","17/1017",0.647058823529412,2.46463978849967,3.63184363080588,0.000885415951554638,0.151209368615498,0.151193835002312,"COL1A1/COL5A1/RCN3/CREB3L1/SERPINH1/P3H4/SCX/P3H3/TGFB3/PCOLCE/EMILIN1",11
"ECM-producing fibroblasts","GO_BP","GO:0007155","cell adhesion","69/267","195/1017",0.353846153846154,1.34779602420052,3.22164633594459,0.00107488320678354,0.154837640057886,0.154821733715381,"COL1A1/COMP/COL5A1/FN1/COL3A1/CERCAM/HMCN2/COL8A1/COL16A1/IGF2/COL12A1/POSTN/ADAM12/ACAN/SFRP2/MDK/MMP2/LGALS1/COL14A1/THBS2/DPT/COL6A2/ITGA11/CDKN2A/SPON2/EPHB3/TNFRSF12A/ACTB/MYL9/HSPG2/P4HB/COL6A1/DCHS1/PALLD/THBS1/FBN1/CGREF1/HMCN1/ISLR/DPP4/SCARF2/FAP/ITGBL1/OPCML/ITGA10/FLNA/FBLN1/EDIL3/TENM3/DAPK3/LRRC32/THBS3/TNFAIP6/CADM1/EFEMP2/PLAUR/RAC3/PTPRD/ITGB5/TGFB1I1/S100A9/EMILIN1/SRPX2/S100A8/ACTN1/XBP1/CD99/INPPL1/HLA-DRA",69
