"program","database","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","52/134","101/472",0.514851485148515,1.81350672380671,5.80015208803524,2.04842574915652e-08,6.3501198223852e-07,6.2530891290041e-07,"COL1A1/SPARC/COMP/COL1A2/COL5A1/CTHRC1/FN1/COL3A1/COL16A1/COL12A1/LRRC15/COL5A2/POSTN/ADAM12/COL11A1/SERPINH1/SFRP4/MMP2/LGALS1/HTRA1/TAGLN/THBS2/BGN/COL6A2/BMP1/ELN/P3H1/BASP1/TNFRSF12A/LOX/MYL9/THBS1/FBN1/FAP/ACTA2/PLOD1/MXRA5/PPIB/FLNA/FBLN1/EDIL3/CADM1/TPM2/PCOLCE/EFEMP2/ECM1/PLAUR/SDC1/QSOX1/ITGB5/CAPG/TPM4",52
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","16/134","35/472",0.457142857142857,1.61023454157783,2.35990539439947,0.0177086872302893,0.274484652069484,0.270290489304416,"CERCAM/COL16A1/MDK/MMP2/BMP1/FLNC/ACTB/MYL9/FBN1/ITGA10/EVL/THBS3/ACTN1/CD99/INPPL1/FSCN1",16
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","14/134","34/472",0.411764705882353,1.4503950834065,1.71474895518309,0.0674995989254214,0.697495855562688,0.68683802415341,"COL1A1/SPARC/COL3A1/AEBP1/ADAM12/PDLIM7/TAGLN/COL6A2/EPHB3/AK1/TPM2/SMTN/ITGB5/FST",14
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","5/134","11/472",0.454545454545455,1.6010854816825,1.26878086676761,0.173739678939418,0.999997628762626,0.984717529172025,"CRABP2/CADM1/IDH2/SEMA3C/DHRS3",5
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","9/134","24/472",0.375,1.32089552238806,1.01492692411011,0.213299633390043,0.999997628762626,0.984717529172025,"CKAP4/TNFRSF9/COL6A1/GLIPR2/ECM1/NCS1/DHRS3/CAPG/XBP1",9
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","8/134","21/472",0.380952380952381,1.34186211798152,1.00803789314051,0.219223419819673,0.999997628762626,0.984717529172025,"KDELR3/ARFGAP1/YIF1A/FKBP14/ALDH18A1/XPOT/TUBB2A/XBP1",8
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","11/134","31/472",0.354838709677419,1.24987963408763,0.905309163087238,0.237953917758482,0.999997628762626,0.984717529172025,"COL5A1/CHPF/HDLBP/B4GALT2/P4HA2/KDELR3/CHST6/GMPPA/PLOD1/SDC1/QSOX1",11
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","6/134","16/472",0.375,1.32089552238806,0.82138303728537,0.285752583491297,0.999997628762626,0.984717529172025,"NBL1/SEMA3B/OLFML3/TUBB2B/DHRS3/XBP1",6
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","4/134","10/472",0.4,1.4089552238806,0.822165549489124,0.306755798384231,0.999997628762626,0.984717529172025,"COPZ2/RYR2/FGGY/CAMK1D",4
"ECM-producing fibroblasts","MSigDB_Hallmark","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","6/134","17/472",0.352941176470588,1.243195785777,0.642361213627177,0.344622630594339,0.999997628762626,0.984717529172025,"COL1A1/COL1A2/COL3A1/COL5A2/COL11A1/KCNMA1",6
