"gene","program_membership_count"
"ARMC9",2
"BGN",2
"C1QTNF5",2
"C9orf16",2
"CD81",2
"COL3A1",2
"COL6A1",2
"COL6A2",2
"CPXM1",2
"ECM1",2
"EMILIN1",2
"MARCKS",2
"MDK",2
"MYL9",2
"NME1-NME2",2
"OLFML2B",2
"OST4",2
"PCOLCE",2
"PDLIM2",2
"PHPT1",2
"PPIB",2
"PPIC",2
"RCN3",2
"RPL37",2
"S100A8",2
"SERF2",2
"SERPINH1",2
"SFRP2",2
"TMSB10",2
"WISP2",2
"ZFP36L2",2
"ABCA10",1
"ABCA8",1
"ABHD14A",1
"ABI3BP",1
"AC005943.2",1
"AC007192.4",1
"AC090498.1",1
"ACAN",1
"ACKR1",1
"ACTA2",1
"ACTB",1
"ACTN1",1
"ACVRL1",1
"ADAM12",1
"ADAMTS14",1
"ADAMTS16",1
"ADAMTS2",1
"ADAMTS4",1
"ADAMTS6",1
"ADAMTS9-AS2",1
"ADGRA2",1
"ADGRB3",1
"ADH1B",1
"ADIRF",1
"AEBP1",1
"AHNAK2",1
"AHR",1
"AK1",1
"AKAP13",1
"ALDH18A1",1
"ALDH1A3",1
"ALDH1L2",1
"ALX4",1
"AMOTL1",1
"ANAPC11",1
"ANGPTL2",1
"ANKRD35",1
"ANO2",1
"ANPEP",1
"ANXA6",1
"AP000350.10",1
"AP2S1",1
"APCDD1",1
"APLNR",1
"APOBEC3C",1
"APOC1",1
"APOD",1
"APOE",1
"APOL1",1
"APRT",1
"ARF5",1
"ARFGAP1",1
"ARHGAP1",1
"ARHGAP10",1
"ARHGAP44",1
"ARHGEF28",1
"ARID5B",1
"ARL4C",1
"ARPC1B",1
"ASIP",1
"ASPN",1
"ATOX1",1
"ATP5D",1
"ATP5E",1
"ATP5G1",1
"ATP5J2",1
"AUTS2",1
"AVPR1A",1
"B2M",1
"B4GALNT1",1
"B4GALT2",1
"BASP1",1
"BBOX1-AS1",1
"BCL2",1
"BCL3",1
"BMP1",1
"BMP4",1
"BMP7",1
"BSG",1
"BST2",1
"BTF3",1
"BTG1",1
"BTN3A2",1
"C11orf24",1
"C11orf96",1
"C12orf75",1
"C17orf89",1
"C1QTNF3",1
"C1QTNF6",1
"C1R",1
"C1S",1
"C1orf122",1
"C1orf54",1
"C3",1
"C4orf3",1
"C4orf48",1
"C6orf48",1
"C7orf50",1
"CA8",1
