"program","gene","rank"
"ECM-producing fibroblasts","COL1A1",1
"ECM-producing fibroblasts","ASPN",2
"ECM-producing fibroblasts","SPARC",3
"ECM-producing fibroblasts","COMP",4
"ECM-producing fibroblasts","COL1A2",5
"ECM-producing fibroblasts","COL5A1",6
"ECM-producing fibroblasts","CILP2",7
"ECM-producing fibroblasts","CTHRC1",8
"ECM-producing fibroblasts","GXYLT2",9
"ECM-producing fibroblasts","FN1",10
"ECM-producing fibroblasts","COL3A1",11
"ECM-producing fibroblasts","CERCAM",12
"ECM-producing fibroblasts","HMCN2",13
"ECM-producing fibroblasts","COL8A1",14
"ECM-producing fibroblasts","COL16A1",15
"ECM-producing fibroblasts","NBL1",16
"ECM-producing fibroblasts","IGF2",17
"ECM-producing fibroblasts","COL12A1",18
"ECM-producing fibroblasts","ARL4C",19
"ECM-producing fibroblasts","RCN3",20
"ECM-producing fibroblasts","LRRC15",21
"ECM-producing fibroblasts","OGN",22
"ECM-producing fibroblasts","COL5A2",23
"ECM-producing fibroblasts","POSTN",24
"ECM-producing fibroblasts","AEBP1",25
"ECM-producing fibroblasts","GPR78",26
"ECM-producing fibroblasts","ADAM12",27
"ECM-producing fibroblasts","SSC5D",28
"ECM-producing fibroblasts","CREB3L1",29
"ECM-producing fibroblasts","ACAN",30
"ECM-producing fibroblasts","SFRP2",31
"ECM-producing fibroblasts","COL11A1",32
"ECM-producing fibroblasts","ZNF469",33
"ECM-producing fibroblasts","SERPINH1",34
"ECM-producing fibroblasts","NT5DC2",35
"ECM-producing fibroblasts","MDK",36
"ECM-producing fibroblasts","SFRP4",37
"ECM-producing fibroblasts","C1QTNF3",38
"ECM-producing fibroblasts","MMP2",39
"ECM-producing fibroblasts","LGALS1",40
"ECM-producing fibroblasts","CHPF",41
"ECM-producing fibroblasts","FNDC1",42
"ECM-producing fibroblasts","NREP",43
"ECM-producing fibroblasts","COL14A1",44
"ECM-producing fibroblasts","KCNMA1",45
"ECM-producing fibroblasts","HDLBP",46
"ECM-producing fibroblasts","COPZ2",47
"ECM-producing fibroblasts","MRC2",48
"ECM-producing fibroblasts","HTRA1",49
"ECM-producing fibroblasts","FOXP1",50
"ECM-producing fibroblasts","P3H4",51
"ECM-producing fibroblasts","PYCR1",52
"ECM-producing fibroblasts","PDLIM7",53
"ECM-producing fibroblasts","PLPP4",54
"ECM-producing fibroblasts","TAGLN",55
"ECM-producing fibroblasts","ANGPTL2",56
"ECM-producing fibroblasts","PIEZO2",57
"ECM-producing fibroblasts","THBS2",58
"ECM-producing fibroblasts","P4HA3",59
"ECM-producing fibroblasts","DPT",60
"ECM-producing fibroblasts","SEMA3B",61
"ECM-producing fibroblasts","FTL",62
"ECM-producing fibroblasts","SCX",63
"ECM-producing fibroblasts","SEPT11",64
"ECM-producing fibroblasts","BGN",65
"ECM-producing fibroblasts","TTYH3",66
"ECM-producing fibroblasts","ADAMTS2",67
"ECM-producing fibroblasts","CRABP2",68
"ECM-producing fibroblasts","COL6A2",69
"ECM-producing fibroblasts","SERF2",70
"ECM-producing fibroblasts","MFAP2",71
"ECM-producing fibroblasts","P3H3",72
"ECM-producing fibroblasts","BMP1",73
"ECM-producing fibroblasts","ELN",74
"ECM-producing fibroblasts","CSRP2",75
"ECM-producing fibroblasts","P3H1",76
"ECM-producing fibroblasts","CKAP4",77
"ECM-producing fibroblasts","HCFC1R1",78
"ECM-producing fibroblasts","ITGA11",79
"ECM-producing fibroblasts","TGFB3",80
"ECM-producing fibroblasts","GALNT15",81
"ECM-producing fibroblasts","UCHL1",82
"ECM-producing fibroblasts","SULF1",83
"ECM-producing fibroblasts","DRD4",84
"ECM-producing fibroblasts","CDKN2A",85
"ECM-producing fibroblasts","OLFML3",86
"ECM-producing fibroblasts","TNFRSF9",87
"ECM-producing fibroblasts","B4GALT2",88
"ECM-producing fibroblasts","BASP1",89
"ECM-producing fibroblasts","SPON2",90
"ECM-producing fibroblasts","FLNC",91
"ECM-producing fibroblasts","C1QTNF6",92
"ECM-producing fibroblasts","EPHB3",93
"ECM-producing fibroblasts","CUEDC1",94
"ECM-producing fibroblasts","MARCKS",95
"ECM-producing fibroblasts","P4HA2",96
"ECM-producing fibroblasts","ENAH",97
"ECM-producing fibroblasts","TNFRSF12A",98
"ECM-producing fibroblasts","FKBP10",99
"ECM-producing fibroblasts","ACTB",100
