"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.69265283884797e-94,2.37925228619814,0.971,0.812,1.7759623573167e-89,"ECM-producing fibroblasts","COL1A1"
5.49952492068038e-79,3.40205489112686,0.668,0.142,1.45935393295174e-74,"ECM-producing fibroblasts","ASPN"
9.92058007690671e-79,1.92268481399934,0.95,0.673,2.63252512920796e-74,"ECM-producing fibroblasts","SPARC"
2.33511806495707e-76,2.78478427443117,0.751,0.203,6.19646929717008e-72,"ECM-producing fibroblasts","COMP"
1.18332251219111e-75,1.7620512788407,0.976,0.844,3.14006461835032e-71,"ECM-producing fibroblasts","COL1A2"
1.53701371001664e-61,1.61243659970388,0.893,0.571,4.07861958090015e-57,"ECM-producing fibroblasts","COL5A1"
7.46351773155375e-58,3.60526289686756,0.466,0.058,1.9805190652451e-53,"ECM-producing fibroblasts","CILP2"
5.88060129280861e-55,2.14167027300669,0.746,0.328,1.56047635905969e-50,"ECM-producing fibroblasts","CTHRC1"
1.98229013831128e-53,2.09224945537771,0.715,0.326,5.26020511102281e-49,"ECM-producing fibroblasts","GXYLT2"
2.48585973476912e-53,2.04354507799912,0.785,0.427,6.59647739218334e-49,"ECM-producing fibroblasts","FN1"
5.90290076874856e-50,1.31649570810237,0.958,0.781,1.56639374799512e-45,"ECM-producing fibroblasts","COL3A1"
3.0534569025791e-49,1.65704975003517,0.77,0.391,8.1026532366839e-45,"ECM-producing fibroblasts","CERCAM"
1.11442611540987e-48,4.07475837220819,0.38,0.038,2.95724113985162e-44,"ECM-producing fibroblasts","HMCN2"
2.76998967650537e-48,2.2068718758745,0.607,0.183,7.35044460557465e-44,"ECM-producing fibroblasts","COL8A1"
1.45531524684394e-47,1.76273591867897,0.754,0.334,3.86182453902508e-43,"ECM-producing fibroblasts","COL16A1"
9.9594477431208e-46,1.84942075948934,0.759,0.385,2.64283905311454e-41,"ECM-producing fibroblasts","NBL1"
7.82231897450747e-45,2.20773126058215,0.772,0.378,2.0757305630753e-40,"ECM-producing fibroblasts","IGF2"
1.12533126014133e-44,2.44331790545034,0.647,0.269,2.98617903191104e-40,"ECM-producing fibroblasts","COL12A1"
