"root","gene","original_module","original_rho","rho","q_value","expressed_fraction","same_direction","passes_original_threshold"
"Y_114","LAMC3","D1_early_decreasing",-0.48724972991885,-0.48724972991885,1.43650270927569e-63,0.177570093457944,TRUE,TRUE
"Y_114","SEMA3G","D1_early_decreasing",-0.479506752843761,-0.479506752843761,2.38032563464442e-61,0.163551401869159,TRUE,TRUE
"Y_114","IGFBP3","D1_early_decreasing",-0.444062660641216,-0.444062660641216,7.94819814169755e-52,0.472897196261682,TRUE,TRUE
"Y_114","ALX4","D1_early_decreasing",-0.44109901345244,-0.44109901345244,4.32504479243928e-51,0.162616822429907,TRUE,TRUE
"Y_114","COL23A1","D1_early_decreasing",-0.440880211769439,-0.440880211769439,4.86594543062852e-51,0.22803738317757,TRUE,TRUE
"Y_114","TFAP2A","D1_early_decreasing",-0.437360512329504,-0.437360512329504,3.6378174946903e-50,0.236448598130841,TRUE,TRUE
"Y_114","TCF4","D1_early_decreasing",-0.421133203439401,-0.421133203439401,2.89600804450576e-46,0.744859813084112,TRUE,TRUE
"Y_114","BMP7","D1_early_decreasing",-0.409380908198158,-0.409380908198158,1.38467231031476e-43,0.146728971962617,TRUE,TRUE
"Y_114","BMP4","D1_early_decreasing",-0.399262356341805,-0.399262356341805,2.39129233040521e-41,0.208411214953271,TRUE,TRUE
"Y_114","SLC5A3","D1_early_decreasing",-0.391545871948043,-0.391545871948043,1.06871447928259e-39,0.157943925233645,TRUE,TRUE
"Y_114","GADD45G","D1_early_decreasing",-0.380563118823476,-0.380563118823476,1.96434652615239e-37,0.203738317757009,TRUE,TRUE
"Y_114","SERPINE2","D1_early_decreasing",-0.364856730638007,-0.364856730638007,2.33527007397721e-34,0.363551401869159,TRUE,TRUE
"Y_114","INHBB","D1_early_decreasing",-0.349253154773477,-0.349253154773477,1.9030252650075e-31,0.138317757009346,TRUE,TRUE
"Y_114","PRLR","D1_early_decreasing",-0.349151316488299,-0.349151316488299,1.98056776569195e-31,0.100934579439252,TRUE,TRUE
"Y_114","TRPS1","D1_early_decreasing",-0.345373314194472,-0.345373314194472,9.47457535393401e-31,0.44018691588785,TRUE,TRUE
"Y_114","TIMP3","D1_early_decreasing",-0.343076781206278,-0.343076781206278,2.4596957964786e-30,0.535514018691589,TRUE,TRUE
"Y_114","PRDM1","D1_early_decreasing",-0.340201616379488,-0.340201616379488,7.89048057295393e-30,0.124299065420561,TRUE,TRUE
"Y_114","PTCH1","D1_early_decreasing",-0.333044464675735,-0.333044464675735,1.35057911453855e-28,0.155140186915888,TRUE,TRUE
"Y_114","APCDD1","D1_early_decreasing",-0.328140292455604,-0.328140292455604,8.92006538578714e-28,0.334579439252336,TRUE,TRUE
"Y_114","DAAM2","D1_early_decreasing",-0.314610669383509,-0.314610669383509,1.41265678726366e-25,0.226168224299065,TRUE,TRUE
"Y_114","INHBA","D1_early_decreasing",-0.307684357436699,-0.307684357436699,1.69340240798775e-24,0.326168224299065,TRUE,TRUE
"Y_114","BCL2","D1_early_decreasing",-0.305037276661869,-0.305037276661869,4.34449728265651e-24,0.199065420560748,TRUE,TRUE
"Y_114","CENPW","D1_early_decreasing",-0.299195418397044,-0.299195418397044,3.30004324332684e-23,0.127102803738318,TRUE,TRUE
"Y_114","CEBPA","D1_early_decreasing",-0.281369766734245,-0.281369766734245,1.2282648347234e-20,0.158878504672897,TRUE,TRUE
"Y_114","IGFBP2","D1_early_decreasing",-0.269273030639444,-0.269273030639444,5.32317984700461e-19,0.135514018691589,TRUE,TRUE
