"closest_vertex","n_cells","homeostatic_fraction","matrix_fraction","ecm_fraction","mean_homeostatic_score","median_homeostatic_score","degree","is_topological_endpoint","old_selected_root"
"Y_114",287,0.923344947735192,0.00348432055749129,0.0731707317073171,0.609332962245052,0.637910589829673,1,TRUE,TRUE
"Y_56",286,0.0664335664335664,0.384615384615385,0.548951048951049,0.189515947483798,0.138465422834067,1,TRUE,FALSE
"Y_1",87,0.149425287356322,0.0344827586206897,0.816091954022989,0.160880969973435,0,1,TRUE,FALSE
"Y_77",1,1,0,0,1.59514914455699,1.59514914455699,2,FALSE,FALSE
"Y_107",3,1,0,0,1.39958816274117,1.34469609615015,2,FALSE,FALSE
"Y_95",2,1,0,0,1.3471947678504,1.3471947678504,2,FALSE,FALSE
"Y_91",2,1,0,0,1.30844804985812,1.30844804985812,2,FALSE,FALSE
"Y_88",1,1,0,0,1.30260483989494,1.30260483989494,2,FALSE,FALSE
"Y_90",1,1,0,0,1.20880052529503,1.20880052529503,2,FALSE,FALSE
"Y_60",2,0.5,0.5,0,1.09999713991196,1.09999713991196,2,FALSE,FALSE
"Y_80",1,1,0,0,0.998686678322604,0.998686678322604,2,FALSE,FALSE
"Y_81",1,1,0,0,0.957358313736797,0.957358313736797,2,FALSE,FALSE
"Y_94",1,1,0,0,0.921205360344471,0.921205360344471,2,FALSE,FALSE
"Y_67",9,0.777777777777778,0.111111111111111,0.111111111111111,0.910175517166228,0.670465890264871,2,FALSE,FALSE
"Y_87",1,0,1,0,0.893110184090266,0.893110184090266,2,FALSE,FALSE
"Y_96",1,1,0,0,0.891489500287822,0.891489500287822,2,FALSE,FALSE
"Y_116",6,0.666666666666667,0.166666666666667,0.166666666666667,0.886593233258034,0.826657411742568,2,FALSE,FALSE
"Y_33",9,0.666666666666667,0.111111111111111,0.222222222222222,0.864761337231158,1.12643614180177,2,FALSE,FALSE
"Y_89",4,0.75,0.25,0,0.828079947660209,0.963364540751494,2,FALSE,FALSE
"Y_100",7,0.714285714285714,0.285714285714286,0,0.792324308562358,0.577321046044203,2,FALSE,FALSE
"Y_115",3,1,0,0,0.784072083060913,0.501758107715042,2,FALSE,FALSE
"Y_82",6,0.666666666666667,0.166666666666667,0.166666666666667,0.765710711527813,0.606936999384812,2,FALSE,FALSE
"Y_35",2,0.5,0.5,0,0.761867143653941,0.761867143653941,2,FALSE,FALSE
"Y_118",4,0.25,0.75,0,0.739068137928098,0.730858227573921,2,FALSE,FALSE
"Y_119",1,1,0,0,0.708974936742065,0.708974936742065,2,FALSE,FALSE
"Y_20",4,1,0,0,0.657469923393169,0.546963326596486,2,FALSE,FALSE
"Y_70",2,0.5,0,0.5,0.635323104864905,0.635323104864905,2,FALSE,FALSE
"Y_101",3,0.333333333333333,0.333333333333333,0.333333333333333,0.630659484400848,0.705160712319114,2,FALSE,FALSE
"Y_109",1,1,0,0,0.596672992878186,0.596672992878186,2,FALSE,FALSE
"Y_46",2,1,0,0,0.596295607277367,0.596295607277367,2,FALSE,FALSE
"Y_113",4,0.5,0.25,0.25,0.5880428693657,0.627473770259875,2,FALSE,FALSE
"Y_16",6,0.5,0.5,0,0.5708560948475,0.462868334724665,2,FALSE,FALSE
"Y_86",5,0.8,0.2,0,0.552524566554899,0.643262269300272,2,FALSE,FALSE
"Y_98",3,0.666666666666667,0,0.333333333333333,0.541955505433271,0.726442066097108,2,FALSE,FALSE
"Y_12",1,1,0,0,0.53742993181341,0.53742993181341,2,FALSE,FALSE
"Y_64",8,0.5,0.5,0,0.529033297799448,0.478435525125982,2,FALSE,FALSE
"Y_93",2,0.5,0,0.5,0.510953585364524,0.510953585364524,2,FALSE,FALSE
"Y_97",4,0.75,0,0.25,0.507415013573349,0.532502269074245,2,FALSE,FALSE
"Y_24",2,0,1,0,0.500672047852943,0.500672047852943,2,FALSE,FALSE
"Y_103",1,1,0,0,0.498259129873785,0.498259129873785,2,FALSE,FALSE
"Y_92",4,0.75,0.25,0,0.491034405260457,0.498307468149471,2,FALSE,FALSE
"Y_32",3,1,0,0,0.488274490402612,0.615509236675163,2,FALSE,FALSE
"Y_18",1,1,0,0,0.48620320818159,0.48620320818159,2,FALSE,FALSE
"Y_37",5,0.2,0.6,0.2,0.475310282830358,0.570773533450233,2,FALSE,FALSE
"Y_53",4,0.25,0.75,0,0.473429604891689,0.40922084181784,2,FALSE,FALSE
"Y_73",3,0.333333333333333,0.666666666666667,0,0.452032874656587,0.476895746740838,2,FALSE,FALSE
"Y_38",3,0.666666666666667,0.333333333333333,0,0.440369041155519,0.435681497764915,2,FALSE,FALSE
"Y_66",7,0.285714285714286,0.142857142857143,0.571428571428571,0.43091588145655,0.225758970099947,2,FALSE,FALSE
"Y_44",6,0.333333333333333,0,0.666666666666667,0.412501261776472,0.32932198419937,2,FALSE,FALSE
"Y_85",6,0.333333333333333,0.333333333333333,0.333333333333333,0.40893202611831,0.397062592772264,2,FALSE,FALSE
"Y_15",1,1,0,0,0.402814308951663,0.402814308951663,2,FALSE,FALSE
"Y_112",2,1,0,0,0.398765474726083,0.398765474726083,2,FALSE,FALSE
"Y_10",11,0.363636363636364,0.181818181818182,0.454545454545455,0.37691664576526,0.38420963408671,2,FALSE,FALSE
"Y_14",6,0.333333333333333,0.166666666666667,0.5,0.374528983277367,0.230622640075801,2,FALSE,FALSE
"Y_5",8,0.375,0.375,0.25,0.36840778165064,0.317083522755054,2,FALSE,FALSE
"Y_54",4,0.25,0.5,0.25,0.367207878395094,0.371340967371128,2,FALSE,FALSE
"Y_51",3,0.333333333333333,0.333333333333333,0.333333333333333,0.350547498608204,0.295518885630604,2,FALSE,FALSE
"Y_71",8,0.375,0.25,0.375,0.347882323818857,0.389446369550956,2,FALSE,FALSE
"Y_42",5,0.4,0.4,0.2,0.319119763907282,0.391147541619177,2,FALSE,FALSE
"Y_43",11,0.363636363636364,0,0.636363636363636,0.315117358362174,0.339610810334105,2,FALSE,FALSE
"Y_59",4,0.25,0.5,0.25,0.308071003503585,0.309168689170933,2,FALSE,FALSE
"Y_102",5,0.6,0.2,0.2,0.298936125844066,0.184953849445673,2,FALSE,FALSE
"Y_39",24,0.375,0.541666666666667,0.0833333333333333,0.297611658958077,0.318811711637032,2,FALSE,FALSE
"Y_8",11,0.0909090909090909,0.727272727272727,0.181818181818182,0.294533996169658,0.279667858021082,2,FALSE,FALSE
"Y_41",7,0.285714285714286,0.142857142857143,0.571428571428571,0.283765999827923,0.222647235590134,2,FALSE,FALSE
"Y_61",8,0.125,0.5,0.375,0.280352588057894,0.208386701410033,2,FALSE,FALSE
"Y_21",4,0.5,0.5,0,0.279726294962629,0.242998528492951,2,FALSE,FALSE
"Y_27",3,0,1,0,0.278222986457975,0.299961469206587,2,FALSE,FALSE
"Y_4",6,0.166666666666667,0,0.833333333333333,0.27716987407656,0.119453449262261,2,FALSE,FALSE
"Y_104",2,0,0.5,0.5,0.276257053383399,0.276257053383399,2,FALSE,FALSE
"Y_2",2,0.5,0,0.5,0.268917016789016,0.268917016789016,2,FALSE,FALSE
"Y_75",5,0.2,0.6,0.2,0.26074350739521,0.263685402530205,2,FALSE,FALSE
"Y_79",3,0.333333333333333,0,0.666666666666667,0.256864658857904,0.285462774950044,2,FALSE,FALSE
"Y_25",4,0,0.5,0.5,0.256657916531194,0.194778701884952,2,FALSE,FALSE
"Y_76",5,0.4,0.4,0.2,0.254938757944515,0,2,FALSE,FALSE
"Y_111",1,1,0,0,0.244352346371977,0.244352346371977,2,FALSE,FALSE
"Y_29",5,0.2,0.6,0.2,0.237669773686427,0.228553606619871,2,FALSE,FALSE
"Y_78",1,0,0,1,0.220082045986046,0.220082045986046,2,FALSE,FALSE
"Y_22",2,0,0,1,0.213511518933847,0.213511518933847,2,FALSE,FALSE
"Y_106",1,1,0,0,0.20996354935027,0.20996354935027,2,FALSE,FALSE
"Y_13",1,0,1,0,0.204033204008653,0.204033204008653,2,FALSE,FALSE
"Y_3",7,0.285714285714286,0.285714285714286,0.428571428571429,0.197538537582942,0.224222194381344,2,FALSE,FALSE
"Y_45",1,0,0,1,0.195351624427817,0.195351624427817,2,FALSE,FALSE
"Y_120",2,0,0.5,0.5,0.194293701782914,0.194293701782914,2,FALSE,FALSE
"Y_68",7,0.285714285714286,0.142857142857143,0.571428571428571,0.187599509191621,0.189740166721648,2,FALSE,FALSE
"Y_31",2,0,0.5,0.5,0.187453707474172,0.187453707474172,2,FALSE,FALSE
"Y_65",5,0.4,0,0.6,0.187107467295033,0.255131381668934,2,FALSE,FALSE
"Y_63",1,0,0,1,0.178606754708663,0.178606754708663,2,FALSE,FALSE
"Y_28",3,0,0.333333333333333,0.666666666666667,0.176287349828299,0.218509161994643,2,FALSE,FALSE
"Y_40",7,0.285714285714286,0,0.714285714285714,0.170228207838145,0,2,FALSE,FALSE
"Y_9",6,0.166666666666667,0.333333333333333,0.5,0.164129826030361,0,2,FALSE,FALSE
"Y_11",6,0.166666666666667,0.333333333333333,0.5,0.15969389521806,0.170253171362289,2,FALSE,FALSE
"Y_74",6,0,0.666666666666667,0.333333333333333,0.155250811306741,0,2,FALSE,FALSE
"Y_26",4,0,0.25,0.75,0.0984367755796023,0.119195700063818,2,FALSE,FALSE
"Y_57",4,0.5,0,0.5,0.0954016413053802,0.0775764331177943,2,FALSE,FALSE
"Y_23",3,0,0,1,0.0824244825660406,0,2,FALSE,FALSE
"Y_47",7,0,0.142857142857143,0.857142857142857,0.0820504793131038,0,2,FALSE,FALSE
"Y_72",3,0,0,1,0.0457918899604758,0.055470631669752,2,FALSE,FALSE
"Y_52",2,0,0.5,0.5,0.0247968539801218,0.0247968539801218,2,FALSE,FALSE
"Y_105",1,1,0,0,0,0,2,FALSE,FALSE
"Y_110",1,0,0,1,0,0,2,FALSE,FALSE
"Y_19",1,0,0,1,0,0,2,FALSE,FALSE
"Y_30",2,0,0,1,0,0,2,FALSE,FALSE
"Y_48",1,0,0,1,0,0,2,FALSE,FALSE
"Y_49",1,0,0,1,0,0,3,FALSE,FALSE
"Y_50",3,0,0.333333333333333,0.666666666666667,0,0,2,FALSE,FALSE
"Y_58",1,0,0,1,0,0,2,FALSE,FALSE
"Y_62",1,0,0,1,0,0,2,FALSE,FALSE
"Y_69",1,0,0,1,0,0,2,FALSE,FALSE
