"column","class"
"orig.ident","character"
"nCount_RNA","numeric"
"nFeature_RNA","integer"
"sample","factor"
"condition","factor"
"patient","character"
"site","character"
"percent.mt","numeric"
"percent.ribo","numeric"
"RNA_snn_res.0.2","factor"
"seurat_clusters","factor"
"RNA_snn_res.0.4","factor"
"RNA_snn_res.0.6","factor"
"RNA_snn_res.0.8","factor"
"RNA_snn_res.1","factor"
"cluster_res0.6","character"
"cell_type_prelim","factor"
"cell_type_major","factor"
"cell_type_sub","factor"
"RNA_snn_res.1.2","factor"
"fib_cluster_res0.6","character"
"Steady_PI16_DPT_score","numeric"
"Secretory_CXCL12_score","numeric"
"Myofibroblast_POSTN_score","numeric"
"Matrix_remodeling_score","numeric"
"Proliferation_score","numeric"
"Inflammatory_score","numeric"
"fib_subtype_auto","factor"
"fib_cluster_neutral","character"
"major_fibroblast_subtype","factor"
"Size_Factor","numeric"
"Pseudotime_graph","numeric"
"Root_vertex_graph","character"
